专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
经济学类,上海交通大学,--,641,天津,文科,2017,第一批,加入对比 ,1
机械类,上海交通大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,642,吉林,文科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,683,吉林,理科,2017,第一批,加入对比 ,1
机械类,上海交通大学,--,684,吉林,理科,2017,第一批,加入对比 ,1
机械类,上海交通大学,--,678,黑龙江,理科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,677,黑龙江,理科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,632,黑龙江,文科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,409,江苏,理科,2017,第一批,加入对比 ,1
机械类,上海交通大学,--,411,江苏,理科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,408,江苏,文科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,617,福建,文科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,648,福建,理科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,660,湖南,文科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,649,重庆,文科,2017,第一批,加入对比 ,1
机械类,上海交通大学,--,679,重庆,理科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,683,重庆,理科,2017,第一批,加入对比 ,1
材料科学与工程,上海交通大学,--,682,重庆,理科,2017,第一批,加入对比 ,1
材料科学与工程,上海交通大学,--,624,四川,理科,2017,第一批,加入对比 ,1
德语,上海交通大学,--,630,四川,文科,2017,第一批,加入对比 ,1
经济学类,上海交通大学,--,642,四川,文科,2017,第一批,加入对比 ,1
海洋工程类,上海交通大学,--,642,四川,理科,2017,第一批,加入对比 ,1
核工程与核技术,上海交通大学,--,672,四川,理科,2017,提前批,加入对比 ,1
化学类,上海交通大学,--,664,四川,理科,2017,第一批,加入对比 ,1
自然保护与环境生态类,上海交通大学,--,675,四川,理科,2017,提前批,加入对比 ,1
生物医学工程,上海交通大学,--,674,四川,理科,2017,第一批,加入对比 ,2
机械类,上海交通大学,--,681,四川,理科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,--,686,四川,理科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,--,663,陕西,文科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,--,691,陕西,理科,2017,第一批,加入对比 ,2
机械类,上海交通大学,--,689,陕西,理科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,--,660,河北,文科,2017,第一批,加入对比 ,2
机械类,上海交通大学,--,689,河北,理科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,--,608,内蒙古,文科,2017,第一批,加入对比 ,2
广播电视编导,上海交通大学,--,629,内蒙古,理科,2017,提前批,加入对比 ,2
法学,上海交通大学,--,643,内蒙古,理科,2017,提前批,加入对比 ,2
机械类,上海交通大学,--,670,内蒙古,理科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,--,643,河南,文科,2017,第一批,加入对比 ,2
海洋工程类,上海交通大学,--,664,河南,理科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,--,671,河南,理科,2017,第一批,加入对比 ,2
机械类,上海交通大学,--,667,河南,理科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,--,652,广西,文科,2017,第一批,加入对比 ,2
机械类,上海交通大学,--,661,新疆,理科,2017,第一批,加入对比 ,2
海洋工程类,上海交通大学,--,662,新疆,理科,2017,第一批,加入对比 ,2
经济学类,上海交通大学,668,668,北京,文科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,628,--,辽宁,文科,2016,第一批,加入对比 ,2
机械工程,上海交通大学,684,--,辽宁,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,619,619,黑龙江,文科,2016,第一批,加入对比 ,2
机械类,上海交通大学,679,679,黑龙江,理科,2016,第一批,加入对比 ,2
机械工程,上海交通大学,681,682,黑龙江,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,681,681,黑龙江,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,--,424,江苏,理科,2016,第一批,加入对比 ,2
数学与应用数学,上海交通大学,--,413,江苏,理科,2016,第一批,加入对比 ,2
物理学类,上海交通大学,--,413,江苏,理科,2016,第一批,加入对比 ,2
机械类,上海交通大学,--,416,江苏,理科,2016,第一批,加入对比 ,2
机械工程,上海交通大学,--,417,江苏,理科,2016,第一批,加入对比 ,2
材料科学与工程,上海交通大学,--,417,江苏,理科,2016,第一批,加入对比 ,2
海洋工程类,上海交通大学,--,413,江苏,理科,2016,第一批,加入对比 ,2
建筑学,上海交通大学,--,414,江苏,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,--,427,江苏,文科,2016,第一批,加入对比 ,2
公共事业管理,上海交通大学,618,--,安徽,文科,2016,第一批,加入对比 ,2
英语,上海交通大学,619,--,安徽,文科,2016,第一批,加入对比 ,2
法学,上海交通大学,619,--,安徽,文科,2016,第一批,加入对比 ,2
材料科学与工程,上海交通大学,676,--,安徽,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,679,--,安徽,理科,2016,第一批,加入对比 ,2
机械工程,上海交通大学,679,--,安徽,理科,2016,第一批,加入对比 ,2
机械类,上海交通大学,679,--,安徽,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,619,623,福建,文科,2016,第一批,加入对比 ,2
自然保护与环境生态类,上海交通大学,645,645,福建,理科,2016,提前批,加入对比 ,2
机械工程,上海交通大学,666,666,福建,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,667,667,福建,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,640,--,湖北,文科,2016,第一批,加入对比 ,2
机械类,上海交通大学,658,--,湖北,理科,2016,第一批,加入对比 ,2
材料科学与工程,上海交通大学,663,--,湖北,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,672,--,湖北,理科,2016,第一批,加入对比 ,2
经济学类,上海交通大学,681,681,黑龙江,理科,2016,第一批,加入对比 ,3
经济学类,上海交通大学,--,424,江苏,理科,2016,第一批,加入对比 ,3
数学与应用数学,上海交通大学,--,413,江苏,理科,2016,第一批,加入对比 ,3
物理学类,上海交通大学,--,413,江苏,理科,2016,第一批,加入对比 ,3
机械类,上海交通大学,--,416,江苏,理科,2016,第一批,加入对比 ,3
机械工程,上海交通大学,--,417,江苏,理科,2016,第一批,加入对比 ,3
材料科学与工程,上海交通大学,--,417,江苏,理科,2016,第一批,加入对比 ,3
海洋工程类,上海交通大学,--,413,江苏,理科,2016,第一批,加入对比 ,3
建筑学,上海交通大学,--,414,江苏,理科,2016,第一批,加入对比 ,3
经济学类,上海交通大学,--,427,江苏,文科,2016,第一批,加入对比 ,3
公共事业管理,上海交通大学,618,--,安徽,文科,2016,第一批,加入对比 ,3
英语,上海交通大学,619,--,安徽,文科,2016,第一批,加入对比 ,3
法学,上海交通大学,619,--,安徽,文科,2016,第一批,加入对比 ,3
材料科学与工程,上海交通大学,676,--,安徽,理科,2016,第一批,加入对比 ,3
经济学类,上海交通大学,679,--,安徽,理科,2016,第一批,加入对比 ,3
机械工程,上海交通大学,679,--,安徽,理科,2016,第一批,加入对比 ,3
机械类,上海交通大学,679,--,安徽,理科,2016,第一批,加入对比 ,3
经济学类,上海交通大学,619,623,福建,文科,2016,第一批,加入对比 ,3
自然保护与环境生态类,上海交通大学,645,645,福建,理科,2016,提前批,加入对比 ,3
机械工程,上海交通大学,666,666,福建,理科,2016,第一批,加入对比 ,3
经济学类,上海交通大学,667,667,福建,理科,2016,第一批,加入对比 ,3
经济学类,上海交通大学,640,--,湖北,文科,2016,第一批,加入对比 ,3
机械类,上海交通大学,658,--,湖北,理科,2016,第一批,加入对比 ,3
材料科学与工程,上海交通大学,663,--,湖北,理科,2016,第一批,加入对比 ,3
经济学类,上海交通大学,672,--,湖北,理科,2016,第一批,加入对比 ,3
经济学类,上海交通大学,640,--,湖南,文科,2016,第一批,加入对比 ,3
机械类,上海交通大学,658,--,湖南,理科,2016,第一批,加入对比 ,3
