专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
外国语言文学类,东北大学秦皇岛分校,--,576,北京,理科,2017,第一批,加入对比 ,1
经济学类,东北大学秦皇岛分校,--,579,北京,理科,2017,第一批,加入对比 ,1
机械类,东北大学秦皇岛分校,--,579,北京,理科,2017,第一批,加入对比 ,1
数学类,东北大学秦皇岛分校,--,581,北京,理科,2017,第一批,加入对比 ,1
外国语言文学类,东北大学秦皇岛分校,--,586,北京,文科,2017,第一批,加入对比 ,1
机械类,东北大学,--,604,天津,理科,2017,第一批,加入对比 ,1
机械类,东北大学秦皇岛分校,--,587,天津,理科,2017,第一批,加入对比 ,1
外国语言文学类,东北大学秦皇岛分校,--,587,天津,理科,2017,第一批,加入对比 ,1
经济学类,东北大学秦皇岛分校,--,588,天津,理科,2017,第一批,加入对比 ,1
数学类,东北大学秦皇岛分校,--,599,天津,理科,2017,第一批,加入对比 ,1
建筑类,东北大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
机械类,东北大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
外国语言文学类,东北大学,--,573,吉林,文科,2017,第一批,加入对比 ,1
建筑类,东北大学,--,578,吉林,理科,2017,第一批,加入对比 ,1
生物工程,东北大学,--,577,吉林,理科,2017,第一批,加入对比 ,1
机械类,东北大学,--,606,吉林,理科,2017,第一批,加入对比 ,1
外国语言文学类,东北大学秦皇岛分校,--,586,吉林,理科,2017,第一批,加入对比 ,1
数学类,东北大学秦皇岛分校,--,570,吉林,理科,2017,第一批,加入对比 ,1
生物工程,东北大学,--,593,黑龙江,理科,2017,第一批,加入对比 ,1
建筑类,东北大学,--,596,黑龙江,理科,2017,第一批,加入对比 ,1
机械类,东北大学,--,602,黑龙江,理科,2017,第一批,加入对比 ,1
外国语言文学类,东北大学,--,565,黑龙江,文科,2017,第一批,加入对比 ,1
外国语言文学类,东北大学秦皇岛分校,--,554,黑龙江,文科,2017,第一批,加入对比 ,1
机械类,东北大学秦皇岛分校,--,573,黑龙江,理科,2017,第一批,加入对比 ,1
数学类,东北大学秦皇岛分校,--,585,黑龙江,理科,2017,第一批,加入对比 ,1
外国语言文学类,东北大学秦皇岛分校,--,577,黑龙江,理科,2017,第一批,加入对比 ,2
经济学类,东北大学秦皇岛分校,--,579,黑龙江,理科,2017,第一批,加入对比 ,2
建筑类,东北大学,--,365,江苏,理科,2017,第一批,加入对比 ,2
机械类,东北大学,--,367,江苏,理科,2017,第一批,加入对比 ,2
外国语言文学类,东北大学,--,363,江苏,文科,2017,第一批,加入对比 ,2
外国语言文学类,东北大学秦皇岛分校,--,348,江苏,理科,2017,第一批,加入对比 ,2
