专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
英语,东南大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
能源动力类,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
软件工程,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
工程管理,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
生物医学工程,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
生物医学工程类,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
测控技术与仪器,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
机械工程,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
土木类,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
计算机科学与技术,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
交通运输类,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
城乡规划,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电子科学与技术,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
信息工程,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
建筑学,东南大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
机械类,东南大学成贤学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
电气工程及其自动化,东南大学成贤学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
计算机科学与技术,东南大学成贤学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
化工与制药类,东南大学,--,628,吉林,理科,2017,第一批,加入对比 ,1
工程力学,东南大学,--,631,吉林,理科,2017,第一批,加入对比 ,1
机械工程,东南大学,--,632,吉林,理科,2017,第一批,加入对比 ,1
测控技术与仪器,东南大学,--,633,吉林,理科,2017,第一批,加入对比 ,1
生物医学工程类,东南大学,--,636,吉林,理科,2017,第一批,加入对比 ,1
材料科学与工程,东南大学,--,633,吉林,理科,2017,第一批,加入对比 ,1
能源动力类,东南大学,--,637,吉林,理科,2017,第一批,加入对比 ,2
软件工程,东南大学,--,638,吉林,理科,2017,第一批,加入对比 ,2
交通运输类,东南大学,--,644,吉林,理科,2017,第一批,加入对比 ,2
土木类,东南大学,--,641,吉林,理科,2017,第一批,加入对比 ,2
信息工程,东南大学,--,644,吉林,理科,2017,第一批,加入对比 ,2
计算机科学与技术,东南大学,--,645,吉林,理科,2017,第一批,加入对比 ,2
电子科学与技术,东南大学,--,651,吉林,理科,2017,第一批,加入对比 ,2
城乡规划,东南大学,--,657,吉林,理科,2017,第一批,加入对比 ,2
建筑学,东南大学,--,658,吉林,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,东南大学成贤学院,--,374,吉林,理科,2017,第三批,加入对比 ,2
计算机科学与技术,东南大学成贤学院,--,375,吉林,理科,2017,第三批,加入对比 ,2
工程管理,东南大学,--,632,黑龙江,理科,2017,第一批,加入对比 ,2
城乡规划,东南大学,--,630,黑龙江,理科,2017,第一批,加入对比 ,2
建筑学,东南大学,--,655,黑龙江,理科,2017,第一批,加入对比 ,2
生物医学工程,东南大学,--,638,黑龙江,理科,2017,第一批,加入对比 ,2
交通运输类,东南大学,--,640,黑龙江,理科,2017,第一批,加入对比 ,2
土木类,东南大学,--,635,黑龙江,理科,2017,第一批,加入对比 ,2
软件工程,东南大学,--,639,黑龙江,理科,2017,第一批,加入对比 ,2
计算机科学与技术,东南大学,--,641,黑龙江,理科,2017,第一批,加入对比 ,2
信息工程,东南大学,--,653,黑龙江,理科,2017,第一批,加入对比 ,2
电子科学与技术,东南大学,--,644,黑龙江,理科,2017,第一批,加入对比 ,2
能源动力类,东南大学,--,637,黑龙江,理科,2017,第一批,加入对比 ,2
测控技术与仪器,东南大学,--,639,黑龙江,理科,2017,第一批,加入对比 ,2
机械工程,东南大学,--,629,黑龙江,理科,2017,第一批,加入对比 ,2
物理学类,东南大学,--,627,黑龙江,理科,2017,第一批,加入对比 ,2
数学类,东南大学,--,630,黑龙江,理科,2017,第一批,加入对比 ,2
土木类,东南大学成贤学院,--,366,黑龙江,理科,2017,第三批,加入对比 ,2
