专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
金融学,中南大学,--,607,北京,文科,2017,第一批,加入对比 ,1
法学,中南大学,--,575,吉林,文科,2017,第一批,加入对比 ,1
工程管理,中南大学,--,574,吉林,理科,2017,第一批,加入对比 ,1
广播电视学,中南大学,--,578,吉林,文科,2017,第一批,加入对比 ,1
城乡规划,中南大学,--,580,吉林,理科,2017,第一批,加入对比 ,1
交通设备与控制工程,中南大学,--,582,吉林,理科,2017,第一批,加入对比 ,1
会计学,中南大学,--,584,吉林,文科,2017,第一批,加入对比 ,1
法语,中南大学,--,582,吉林,文科,2017,第一批,加入对比 ,1
微电子科学与工程,中南大学,--,588,吉林,理科,2017,第一批,加入对比 ,1
测控技术与仪器,中南大学,--,590,吉林,理科,2017,第一批,加入对比 ,1
光电信息科学与工程,中南大学,--,589,吉林,理科,2017,第一批,加入对比 ,1
冶金工程,中南大学,--,595,吉林,理科,2017,第一批,加入对比 ,1
新能源科学与工程,中南大学,--,589,吉林,理科,2017,第一批,加入对比 ,1
信息与计算科学,中南大学,--,590,吉林,理科,2017,第一批,加入对比 ,1
城市地下空间工程,中南大学,--,599,吉林,理科,2017,第一批,加入对比 ,1
化学工程与工艺,中南大学,--,604,吉林,理科,2017,第一批,加入对比 ,1
能源与动力工程,中南大学,--,596,吉林,理科,2017,第一批,加入对比 ,1
材料化学,中南大学,--,594,吉林,理科,2017,第一批,加入对比 ,1
新能源材料与器件,中南大学,--,603,吉林,理科,2017,第一批,加入对比 ,1
土木工程,中南大学,--,609,吉林,理科,2017,第一批,加入对比 ,1
应用化学,中南大学,--,608,吉林,理科,2017,第一批,加入对比 ,1
安全工程,中南大学,--,601,吉林,理科,2017,第一批,加入对比 ,1
信息管理与信息系统,中南大学,--,601,吉林,理科,2017,第一批,加入对比 ,1
通信工程,中南大学,--,605,吉林,理科,2017,第一批,加入对比 ,1
软件工程,中南大学,--,599,吉林,理科,2017,第一批,加入对比 ,1
粉体材料科学与工程,中南大学,--,603,吉林,理科,2017,第一批,加入对比 ,2
建筑学,中南大学,--,605,吉林,理科,2017,第一批,加入对比 ,2
自动化,中南大学,--,612,吉林,理科,2017,第一批,加入对比 ,2
统计学,中南大学,--,621,吉林,理科,2017,第一批,加入对比 ,2
