专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
英语,中国人民大学,--,649,北京,文科,2017,第一批,加入对比 ,1
新闻传播学类,中国人民大学,--,650,北京,文科,2017,第一批,加入对比 ,1
财政学类,中国人民大学,--,653,北京,文科,2017,第一批,加入对比 ,1
社会学类,中国人民大学,--,654,北京,文科,2017,第一批,加入对比 ,1
政治学、经济学与哲学,中国人民大学,--,655,北京,文科,2017,第一批,加入对比 ,1
经济学类,中国人民大学,--,657,北京,文科,2017,第一批,加入对比 ,1
信息资源管理,中国人民大学,--,659,北京,文科,2017,第一批,加入对比 ,1
法学,中国人民大学,--,659,北京,文科,2017,第一批,加入对比 ,1
国际政治,中国人民大学,--,660,北京,文科,2017,第一批,加入对比 ,1
社会学类,中国人民大学,--,662,北京,理科,2017,第一批,加入对比 ,1
国际政治,中国人民大学,--,662,北京,理科,2017,第一批,加入对比 ,1
金融学类,中国人民大学,--,664,北京,文科,2017,第一批,加入对比 ,1
政治学、经济学与哲学,中国人民大学,--,664,北京,理科,2017,第一批,加入对比 ,1
新闻传播学类,中国人民大学,--,665,北京,理科,2017,第一批,加入对比 ,1
财政学类,中国人民大学,--,666,北京,理科,2017,第一批,加入对比 ,1
法学,中国人民大学,--,667,北京,理科,2017,第一批,加入对比 ,1
统计学类,中国人民大学,--,668,北京,理科,2017,第一批,加入对比 ,1
经济学类,中国人民大学,--,668,北京,理科,2017,第一批,加入对比 ,1
信息资源管理,中国人民大学,--,662,北京,理科,2017,第一批,加入对比 ,1
农业经济管理类,中国人民大学,--,663,北京,理科,2017,第一批,加入对比 ,1
信息资源管理,中国人民大学,--,668,天津,理科,2017,第一批,加入对比 ,1
法学,中国人民大学,--,669,天津,理科,2017,第一批,加入对比 ,1
国际政治,中国人民大学,--,670,天津,理科,2017,第一批,加入对比 ,1
经济学类,中国人民大学,--,678,天津,理科,2017,第一批,加入对比 ,1
金融学类,中国人民大学,--,680,天津,理科,2017,第一批,加入对比 ,1
社会学类,中国人民大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
金融学类,中国人民大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
新闻传播学类,中国人民大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
政治学、经济学与哲学,中国人民大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
新闻传播学类,中国人民大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
统计学类,中国人民大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
经济学类,中国人民大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
法学,中国人民大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
金融学类,中国人民大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
俄语,中国人民大学,--,625,吉林,文科,2017,提前批,加入对比 ,2
政治学、经济学与哲学,中国人民大学,--,629,吉林,文科,2017,第一批,加入对比 ,2
国际政治,中国人民大学,--,632,吉林,文科,2017,第一批,加入对比 ,2
农业经济管理类,中国人民大学,--,633,吉林,文科,2017,第一批,加入对比 ,2
新闻传播学类,中国人民大学,--,635,吉林,文科,2017,第一批,加入对比 ,2
经济学类,中国人民大学,--,641,吉林,文科,2017,第一批,加入对比 ,2
法学,中国人民大学,--,641,吉林,文科,2017,第一批,加入对比 ,2
金融学类,中国人民大学,--,652,吉林,文科,2017,第一批,加入对比 ,2
财政学类,中国人民大学,--,643,吉林,文科,2017,第一批,加入对比 ,2
俄语,中国人民大学,--,655,吉林,理科,2017,提前批,加入对比 ,2
日语,中国人民大学,--,663,吉林,理科,2017,提前批,加入对比 ,2
新闻传播学类,中国人民大学,--,663,吉林,理科,2017,第一批,加入对比 ,2
政治学、经济学与哲学,中国人民大学,--,663,吉林,理科,2017,第一批,加入对比 ,2
法学,中国人民大学,--,667,吉林,理科,2017,第一批,加入对比 ,2
财政学类,中国人民大学,--,668,吉林,理科,2017,第一批,加入对比 ,2
统计学类,中国人民大学,--,675,吉林,理科,2017,第一批,加入对比 ,2
经济学类,中国人民大学,--,678,吉林,理科,2017,第一批,加入对比 ,2
金融学类,中国人民大学,--,686,吉林,理科,2017,第一批,加入对比 ,2
统计学类,中国人民大学,--,670,黑龙江,理科,2017,第一批,加入对比 ,2
新闻传播学类,中国人民大学,--,663,黑龙江,理科,2017,第一批,加入对比 ,2
政治学、经济学与哲学,中国人民大学,--,665,黑龙江,理科,2017,第一批,加入对比 ,2
金融学类,中国人民大学,--,673,黑龙江,理科,2017,第一批,加入对比 ,2
经济学类,中国人民大学,--,664,黑龙江,理科,2017,第一批,加入对比 ,2
新闻传播学类,中国人民大学,--,624,黑龙江,文科,2017,第一批,加入对比 ,2
社会学类,中国人民大学,--,623,黑龙江,文科,2017,第一批,加入对比 ,2
政治学、经济学与哲学,中国人民大学,--,629,黑龙江,文科,2017,第一批,加入对比 ,2
法学,中国人民大学,--,626,黑龙江,文科,2017,第一批,加入对比 ,2
金融学类,中国人民大学,--,632,黑龙江,文科,2017,第一批,加入对比 ,2
经济学类,中国人民大学,--,632,黑龙江,文科,2017,第一批,加入对比 ,2
日语,中国人民大学,--,615,黑龙江,文科,2017,提前批,加入对比 ,2
俄语,中国人民大学,--,612,黑龙江,文科,2017,提前批,加入对比 ,2
日语,中国人民大学,--,648,黑龙江,理科,2017,提前批,加入对比 ,2
俄语,中国人民大学,--,647,黑龙江,理科,2017,提前批,加入对比 ,2
政治学、经济学与哲学,中国人民大学,--,398,江苏,理科,2017,第一批,加入对比 ,2
统计学类,中国人民大学,--,402,江苏,理科,2017,第一批,加入对比 ,2
社会学类,中国人民大学,--,398,江苏,理科,2017,第一批,加入对比 ,2
农业经济管理类,中国人民大学,--,399,江苏,理科,2017,第一批,加入对比 ,2
经济学类,中国人民大学,--,411,江苏,理科,2017,第一批,加入对比 ,2
金融学类,中国人民大学,--,408,江苏,理科,2017,第一批,加入对比 ,2
法学,中国人民大学,--,409,江苏,理科,2017,第一批,加入对比 ,2
政治学、经济学与哲学,中国人民大学,--,392,江苏,文科,2017,第一批,加入对比 ,2
经济学类,中国人民大学,--,678,吉林,理科,2017,第一批,加入对比 ,3
金融学类,中国人民大学,--,686,吉林,理科,2017,第一批,加入对比 ,3
统计学类,中国人民大学,--,670,黑龙江,理科,2017,第一批,加入对比 ,3
新闻传播学类,中国人民大学,--,663,黑龙江,理科,2017,第一批,加入对比 ,3
政治学、经济学与哲学,中国人民大学,--,665,黑龙江,理科,2017,第一批,加入对比 ,3
金融学类,中国人民大学,--,673,黑龙江,理科,2017,第一批,加入对比 ,3
经济学类,中国人民大学,--,664,黑龙江,理科,2017,第一批,加入对比 ,3
新闻传播学类,中国人民大学,--,624,黑龙江,文科,2017,第一批,加入对比 ,3
社会学类,中国人民大学,--,623,黑龙江,文科,2017,第一批,加入对比 ,3
政治学、经济学与哲学,中国人民大学,--,629,黑龙江,文科,2017,第一批,加入对比 ,3
法学,中国人民大学,--,626,黑龙江,文科,2017,第一批,加入对比 ,3
金融学类,中国人民大学,--,632,黑龙江,文科,2017,第一批,加入对比 ,3
经济学类,中国人民大学,--,632,黑龙江,文科,2017,第一批,加入对比 ,3
