专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
英语,中国农业大学,--,595,天津,文科,2017,第一批,加入对比 ,1
法学,中国农业大学,--,597,天津,文科,2017,第一批,加入对比 ,1
农村区域发展,中国农业大学,--,597,天津,文科,2017,第一批,加入对比 ,1
传播学,中国农业大学,--,597,天津,文科,2017,第一批,加入对比 ,1
社会学,中国农业大学,--,597,天津,文科,2017,第一批,加入对比 ,1
草业科学,中国农业大学,--,604,天津,理科,2017,第一批,加入对比 ,1
园艺,中国农业大学,--,606,天津,理科,2017,第一批,加入对比 ,1
种子科学与工程,中国农业大学,--,605,天津,理科,2017,第一批,加入对比 ,1
工程力学,中国农业大学,--,605,天津,理科,2017,第一批,加入对比 ,1
车辆工程,中国农业大学,--,609,天津,理科,2017,第一批,加入对比 ,1
水利类,中国农业大学,--,613,天津,理科,2017,第一批,加入对比 ,1
地理信息科学,中国农业大学,--,608,天津,理科,2017,第一批,加入对比 ,1
土木工程,中国农业大学,--,611,天津,理科,2017,第一批,加入对比 ,1
化学类,中国农业大学,--,611,天津,理科,2017,第一批,加入对比 ,1
动物科学,中国农业大学,--,614,天津,理科,2017,第一批,加入对比 ,1
农业建筑环境与能源工程,中国农业大学,--,613,天津,理科,2017,第一批,加入对比 ,1
农学,中国农业大学,--,622,天津,理科,2017,第一批,加入对比 ,1
环境科学与工程类,中国农业大学,--,614,天津,理科,2017,第一批,加入对比 ,1
机械电子工程,中国农业大学,--,612,天津,理科,2017,第一批,加入对比 ,1
机械设计制造及其自动化,中国农业大学,--,612,天津,理科,2017,第一批,加入对比 ,1
农业工程类,中国农业大学,--,615,天津,理科,2017,第一批,加入对比 ,1
土地资源管理,中国农业大学,--,615,天津,理科,2017,第一批,加入对比 ,1
计算机科学与技术,中国农业大学,--,616,天津,理科,2017,第一批,加入对比 ,1
食品科学与工程类,中国农业大学,--,620,天津,理科,2017,第一批,加入对比 ,1
生物科学类,中国农业大学,--,624,天津,理科,2017,第一批,加入对比 ,1
经济学类,中国农业大学,--,628,天津,理科,2017,第一批,加入对比 ,2
新闻传播学类,中国农业大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
法学,中国农业大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
社会学,中国农业大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
传播学,中国农业大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
英语,中国农业大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
农业建筑环境与能源工程,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
土木工程,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
农村区域发展,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
动物科学,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
水利类,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
车辆工程,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
草业科学,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
机械电子工程,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
园艺,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
工程力学,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
农业工程类,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
园林,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
地理信息科学,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
种子科学与工程,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
数学与应用数学,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
食品科学与工程类,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
环境科学与工程类,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
土地资源管理,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物科学类,中国农业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
农村区域发展,中国农业大学,--,546,吉林,理科,2017,第一批,加入对比 ,2
地理信息科学,中国农业大学,--,551,吉林,理科,2017,第一批,加入对比 ,2
草业科学,中国农业大学,--,553,吉林,理科,2017,第一批,加入对比 ,2
土木工程,中国农业大学,--,563,吉林,理科,2017,第一批,加入对比 ,2
园林,中国农业大学,--,569,吉林,理科,2017,第一批,加入对比 ,2
社会学,中国农业大学,--,571,吉林,理科,2017,第一批,加入对比 ,2
车辆工程,中国农业大学,--,575,吉林,理科,2017,第一批,加入对比 ,2
农业建筑环境与能源工程,中国农业大学,--,576,吉林,理科,2017,第一批,加入对比 ,2
机械电子工程,中国农业大学,--,580,吉林,理科,2017,第一批,加入对比 ,2
种子科学与工程,中国农业大学,--,582,吉林,理科,2017,第一批,加入对比 ,2
农业工程类,中国农业大学,--,606,吉林,理科,2017,第一批,加入对比 ,2
园艺,中国农业大学,--,600,吉林,理科,2017,第一批,加入对比 ,2
农学,中国农业大学,--,590,吉林,理科,2017,第一批,加入对比 ,2
水利类,中国农业大学,--,606,吉林,理科,2017,第一批,加入对比 ,2
环境科学与工程类,中国农业大学,--,608,吉林,理科,2017,第一批,加入对比 ,2
化学类,中国农业大学,--,613,吉林,理科,2017,第一批,加入对比 ,2
计算机科学与技术,中国农业大学,--,598,吉林,理科,2017,第一批,加入对比 ,2
工程力学,中国农业大学,--,600,吉林,理科,2017,第一批,加入对比 ,2
生物科学类,中国农业大学,--,608,吉林,理科,2017,第一批,加入对比 ,2
机械设计制造及其自动化,中国农业大学,--,605,吉林,理科,2017,第一批,加入对比 ,2
数学与应用数学,中国农业大学,--,605,吉林,理科,2017,第一批,加入对比 ,2
