专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
法语,中国海洋大学,--,605,北京,文科,2017,第一批,加入对比 ,1
水产养殖学,中国海洋大学,--,605,北京,理科,2017,第一批,加入对比 ,1
文化产业管理,中国海洋大学,--,608,北京,理科,2017,第一批,加入对比 ,1
大气科学,中国海洋大学,--,608,北京,理科,2017,第一批,加入对比 ,1
生物科学,中国海洋大学,--,609,北京,理科,2017,第一批,加入对比 ,1
生物科学,中国海洋大学,--,597,天津,理科,2017,第一批,加入对比 ,1
大气科学,中国海洋大学,--,598,天津,理科,2017,第一批,加入对比 ,1
船舶与海洋工程,中国海洋大学,--,602,天津,理科,2017,第一批,加入对比 ,1
计算机科学与技术,中国海洋大学,--,602,天津,理科,2017,第一批,加入对比 ,1
机械设计制造及其自动化,中国海洋大学,--,602,天津,理科,2017,第一批,加入对比 ,1
水产养殖学,中国海洋大学,--,604,天津,理科,2017,第一批,加入对比 ,1
港口航道与海岸工程,中国海洋大学,--,605,天津,理科,2017,第一批,加入对比 ,1
海洋渔业科学与技术,中国海洋大学,--,606,天津,理科,2017,第一批,加入对比 ,1
环境科学,中国海洋大学,--,607,天津,理科,2017,第一批,加入对比 ,1
化学,中国海洋大学,--,607,天津,理科,2017,第一批,加入对比 ,1
金融学,中国海洋大学,--,607,天津,理科,2017,第一批,加入对比 ,1
工商管理,中国海洋大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
法学,中国海洋大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
德语,中国海洋大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
朝鲜语,中国海洋大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
日语,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
朝鲜语,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
英语,中国海洋大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
电子信息工程,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
海洋渔业科学与技术,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
轮机工程,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
勘查技术与工程,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
地质学,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
计算机科学与技术,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
机械设计制造及其自动化,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
水产养殖学,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
船舶与海洋工程,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
大气科学,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
德语,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
化学,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
食品科学与工程类,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物科学,中国海洋大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
