专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
地球物理学类,中国科学技术大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
生物科学类,中国科学技术大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
化学类,中国科学技术大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
物理学类,中国科学技术大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
数学类,中国科学技术大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
核工程类,中国科学技术大学,--,660,吉林,理科,2017,第一批,加入对比 ,1
物理学类,中国科学技术大学,--,676,吉林,理科,2017,第一批,加入对比 ,1
化学类,中国科学技术大学,--,667,吉林,理科,2017,第一批,加入对比 ,1
地球物理学类,中国科学技术大学,--,668,吉林,理科,2017,第一批,加入对比 ,1
数学类,中国科学技术大学,--,666,吉林,理科,2017,第一批,加入对比 ,1
化学类,中国科学技术大学,--,661,黑龙江,理科,2017,第一批,加入对比 ,1
物理学类,中国科学技术大学,--,673,黑龙江,理科,2017,第一批,加入对比 ,1
数学类,中国科学技术大学,--,662,黑龙江,理科,2017,第一批,加入对比 ,1
物理学类,中国科学技术大学,--,396,江苏,理科,2017,第一批,加入对比 ,1
数学类,中国科学技术大学,--,397,江苏,理科,2017,第一批,加入对比 ,1
化学类,中国科学技术大学,--,394,江苏,理科,2017,第一批,加入对比 ,1
核工程类,中国科学技术大学,--,393,江苏,理科,2017,第一批,加入对比 ,1
地球物理学类,中国科学技术大学,--,392,江苏,理科,2017,第一批,加入对比 ,1
化学类,中国科学技术大学,--,622,福建,理科,2017,第一批,加入对比 ,1
数学类,中国科学技术大学,--,629,福建,理科,2017,第一批,加入对比 ,1
物理学类,中国科学技术大学,--,629,福建,理科,2017,第一批,加入对比 ,1
生物科学类,中国科学技术大学,--,627,福建,理科,2017,第一批,加入对比 ,1
数学类,中国科学技术大学,--,665,重庆,理科,2017,第一批,加入对比 ,1
物理学类,中国科学技术大学,--,673,重庆,理科,2017,第一批,加入对比 ,1
核工程类,中国科学技术大学,--,621,四川,理科,2017,第一批,加入对比 ,1
环境科学,中国科学技术大学,--,664,四川,理科,2017,提前批,加入对比 ,2
生物科学类,中国科学技术大学,--,668,四川,理科,2017,提前批,加入对比 ,2
化学类,中国科学技术大学,--,669,四川,理科,2017,提前批,加入对比 ,2
物理学类,中国科学技术大学,--,667,四川,理科,2017,提前批,加入对比 ,2
地球物理学类,中国科学技术大学,--,667,四川,理科,2017,提前批,加入对比 ,2
数学类,中国科学技术大学,--,668,四川,理科,2017,提前批,加入对比 ,2
化学类,中国科学技术大学,--,671,四川,理科,2017,第一批,加入对比 ,2
数学类,中国科学技术大学,--,672,四川,理科,2017,第一批,加入对比 ,2
物理学类,中国科学技术大学,--,674,四川,理科,2017,第一批,加入对比 ,2
地球物理学类,中国科学技术大学,--,675,四川,理科,2017,第一批,加入对比 ,2
地球物理学类,中国科学技术大学,--,675,陕西,理科,2017,第一批,加入对比 ,2
化学类,中国科学技术大学,--,677,陕西,理科,2017,第一批,加入对比 ,2
数学类,中国科学技术大学,--,680,陕西,理科,2017,第一批,加入对比 ,2
物理学类,中国科学技术大学,--,682,陕西,理科,2017,第一批,加入对比 ,2
化学类,中国科学技术大学,--,677,河北,理科,2017,第一批,加入对比 ,2
数学类,中国科学技术大学,--,679,河北,理科,2017,第一批,加入对比 ,2
物理学类,中国科学技术大学,--,682,河北,理科,2017,第一批,加入对比 ,2
生物科学类,中国科学技术大学,--,680,河北,理科,2017,第一批,加入对比 ,2
生物科学类,中国科学技术大学,--,616,内蒙古,理科,2017,提前批,加入对比 ,2
化学类,中国科学技术大学,--,658,内蒙古,理科,2017,第一批,加入对比 ,2
物理学类,中国科学技术大学,--,661,内蒙古,理科,2017,第一批,加入对比 ,2
数学类,中国科学技术大学,--,663,内蒙古,理科,2017,第一批,加入对比 ,2
地球物理学类,中国科学技术大学,--,647,河南,理科,2017,第一批,加入对比 ,2
化学类,中国科学技术大学,--,649,河南,理科,2017,第一批,加入对比 ,2
物理学类,中国科学技术大学,--,654,河南,理科,2017,第一批,加入对比 ,2
生物科学类,中国科学技术大学,--,651,河南,理科,2017,第一批,加入对比 ,2
数学类,中国科学技术大学,--,651,河南,理科,2017,第一批,加入对比 ,2
化学类,中国科学技术大学,--,649,新疆,理科,2017,第一批,加入对比 ,2
物理学类,中国科学技术大学,--,653,新疆,理科,2017,第一批,加入对比 ,2
地球物理学类,中国科学技术大学,--,--,北京,理科,2016,第一批,加入对比 ,2
化学类,中国科学技术大学,--,--,北京,理科,2016,第一批,加入对比 ,2
物理学类,中国科学技术大学,--,--,北京,理科,2016,第一批,加入对比 ,2
数学类,中国科学技术大学,--,--,北京,理科,2016,第一批,加入对比 ,2
地球物理学类,中国科学技术大学,671,--,辽宁,理科,2016,第一批,加入对比 ,2
生物科学类,中国科学技术大学,672,--,辽宁,理科,2016,第一批,加入对比 ,2
化学类,中国科学技术大学,672,--,辽宁,理科,2016,第一批,加入对比 ,2
物理学类,中国科学技术大学,675,--,辽宁,理科,2016,第一批,加入对比 ,2
数学类,中国科学技术大学,676,--,辽宁,理科,2016,第一批,加入对比 ,2
核工程类,中国科学技术大学,672,672,黑龙江,理科,2016,第一批,加入对比 ,2
数学类,中国科学技术大学,672,672,黑龙江,理科,2016,第一批,加入对比 ,2
化学类,中国科学技术大学,672,672,黑龙江,理科,2016,第一批,加入对比 ,2
地球物理学类,中国科学技术大学,672,672,黑龙江,理科,2016,第一批,加入对比 ,2
物理学类,中国科学技术大学,673,675,黑龙江,理科,2016,第一批,加入对比 ,2
核工程类,中国科学技术大学,--,401,江苏,理科,2016,第一批,加入对比 ,2
数学类,中国科学技术大学,--,405,江苏,理科,2016,第一批,加入对比 ,2
物理学类,中国科学技术大学,--,403,江苏,理科,2016,第一批,加入对比 ,2
化学类,中国科学技术大学,--,403,江苏,理科,2016,第一批,加入对比 ,2
地球物理学类,中国科学技术大学,--,401,江苏,理科,2016,第一批,加入对比 ,2
地球物理学类,中国科学技术大学,666,--,安徽,理科,2016,第一批,加入对比 ,2
化学类,中国科学技术大学,668,--,安徽,理科,2016,第一批,加入对比 ,2
生物科学类,中国科学技术大学,--,651,河南,理科,2017,第一批,加入对比 ,3
数学类,中国科学技术大学,--,651,河南,理科,2017,第一批,加入对比 ,3
化学类,中国科学技术大学,--,649,新疆,理科,2017,第一批,加入对比 ,3
物理学类,中国科学技术大学,--,653,新疆,理科,2017,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,--,--,北京,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,--,--,北京,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,--,--,北京,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,--,--,北京,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,671,--,辽宁,理科,2016,第一批,加入对比 ,3
生物科学类,中国科学技术大学,672,--,辽宁,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,672,--,辽宁,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,675,--,辽宁,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,676,--,辽宁,理科,2016,第一批,加入对比 ,3
核工程类,中国科学技术大学,672,672,黑龙江,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,672,672,黑龙江,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,672,672,黑龙江,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,672,672,黑龙江,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,673,675,黑龙江,理科,2016,第一批,加入对比 ,3
核工程类,中国科学技术大学,--,401,江苏,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,--,405,江苏,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,--,403,江苏,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,--,403,江苏,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,--,401,江苏,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,666,--,安徽,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,668,--,安徽,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,643,643,福建,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,644,647,福建,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,644,651,福建,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,661,--,湖北,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,664,--,湖北,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,661,--,湖南,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,664,--,湖南,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,649,--,广东,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,651,--,广东,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,652,--,广东,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,658,--,广东,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,679,680,重庆,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,682,682,重庆,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,684,688,重庆,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,687,687,重庆,理科,2016,第一批,加入对比 ,3
核工程类,中国科学技术大学,663,664,四川,理科,2016,提前批,加入对比 ,3
生物科学类,中国科学技术大学,663,665,四川,理科,2016,提前批,加入对比 ,3
地球物理学类,中国科学技术大学,664,665,四川,理科,2016,提前批,加入对比 ,3
管理科学与工程类,中国科学技术大学,666,666,四川,理科,2016,提前批,加入对比 ,3
化学类,中国科学技术大学,667,671,四川,理科,2016,提前批,加入对比 ,3
物理学类,中国科学技术大学,668,671,四川,理科,2016,提前批,加入对比 ,3
生物科学类,中国科学技术大学,669,669,四川,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,669,670,四川,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,670,672,四川,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,672,674,四川,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,673,677,四川,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,681,681,陕西,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,682,682,陕西,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,684,684,陕西,理科,2016,第一批,加入对比 ,3
生物科学类,中国科学技术大学,684,686,陕西,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,685,687,陕西,理科,2016,第一批,加入对比 ,3
生物科学类,中国科学技术大学,693,693,河北,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,693,693,河北,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,696,698,河北,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,650,--,山西,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,651,--,山西,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,653,--,山西,理科,2016,第一批,加入对比 ,3
管理科学与工程类,中国科学技术大学,657,--,河南,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,658,--,河南,理科,2016,第一批,加入对比 ,3
环境科学,中国科学技术大学,660,--,河南,理科,2016,第一批,加入对比 ,3
生物科学类,中国科学技术大学,660,--,河南,理科,2016,第一批,加入对比 ,3
核工程类,中国科学技术大学,661,--,河南,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,661,--,河南,理科,2016,第一批,加入对比 ,3
物理学类,中国科学技术大学,662,--,河南,理科,2016,第一批,加入对比 ,3
地球物理学类,中国科学技术大学,639,639,广西,理科,2016,第一批,加入对比 ,3
化学类,中国科学技术大学,645,646,广西,理科,2016,第一批,加入对比 ,3
数学类,中国科学技术大学,657,659,广西,理科,2016,第一批,加入对比 ,3
核工程类,中国科学技术大学,660,663,广西,理科,2016,第一批,加入对比 ,3
