专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
教育学,中央民族大学,--,585,天津,文科,2017,第一批,加入对比 ,1
文物与博物馆学,中央民族大学,--,586,天津,文科,2017,第一批,加入对比 ,1
哲学类,中央民族大学,--,588,天津,文科,2017,第一批,加入对比 ,1
外国语言文学类,中央民族大学,--,587,天津,文科,2017,第一批,加入对比 ,1
经济学类,中央民族大学,--,590,天津,文科,2017,第一批,加入对比 ,1
中国语言文学类,中央民族大学,--,593,天津,文科,2017,第一批,加入对比 ,1
法学,中央民族大学,--,594,天津,文科,2017,第一批,加入对比 ,1
新闻传播学类,中央民族大学,--,596,天津,文科,2017,第一批,加入对比 ,1
生物科学类,中央民族大学,--,600,天津,理科,2017,第一批,加入对比 ,1
信息与计算科学,中央民族大学,--,600,天津,理科,2017,第一批,加入对比 ,1
法学,中央民族大学,--,610,天津,理科,2017,第一批,加入对比 ,1
经济学类,中央民族大学,--,614,天津,理科,2017,第一批,加入对比 ,1
教育学,中央民族大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
文物与博物馆学,中央民族大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
哲学类,中央民族大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
外国语言文学类,中央民族大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
社会学类,中央民族大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
新闻传播学类,中央民族大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
中国语言文学类,中央民族大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
法学,中央民族大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
生物科学类,中央民族大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
统计学类,中央民族大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
环境科学与工程类,中央民族大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
新闻传播学类,中央民族大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
法学,中央民族大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
环境科学与工程类,中央民族大学,--,576,吉林,理科,2017,第一批,加入对比 ,2
民族学,中央民族大学,--,583,吉林,文科,2017,第一批,加入对比 ,2
教育学,中央民族大学,--,577,吉林,文科,2017,第一批,加入对比 ,2
自动化,中央民族大学,--,585,吉林,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,中央民族大学,--,580,吉林,理科,2017,第一批,加入对比 ,2
社会学类,中央民族大学,--,580,吉林,文科,2017,第一批,加入对比 ,2
外国语言文学类,中央民族大学,--,580,吉林,文科,2017,第一批,加入对比 ,2
日语,中央民族大学,--,583,吉林,理科,2017,第一批,加入对比 ,2
生物科学类,中央民族大学,--,589,吉林,理科,2017,第一批,加入对比 ,2
化学,中央民族大学,--,588,吉林,理科,2017,第一批,加入对比 ,2
法学,中央民族大学,--,585,吉林,文科,2017,第一批,加入对比 ,2
信息与计算科学,中央民族大学,--,588,吉林,理科,2017,第一批,加入对比 ,2
统计学类,中央民族大学,--,591,吉林,理科,2017,第一批,加入对比 ,2
经济学类,中央民族大学,--,598,吉林,文科,2017,第一批,加入对比 ,2
外国语言文学类,中央民族大学,--,602,吉林,理科,2017,第一批,加入对比 ,2
经济学类,中央民族大学,--,605,吉林,理科,2017,第一批,加入对比 ,2
法学,中央民族大学,--,608,吉林,理科,2017,第一批,加入对比 ,2
新闻传播学类,中央民族大学,--,615,吉林,文科,2017,第一批,加入对比 ,2
环境科学与工程类,中央民族大学,--,582,黑龙江,理科,2017,第一批,加入对比 ,2
制药工程,中央民族大学,--,584,黑龙江,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,中央民族大学,--,584,黑龙江,理科,2017,第一批,加入对比 ,2
统计学类,中央民族大学,--,592,黑龙江,理科,2017,第一批,加入对比 ,2
生物科学类,中央民族大学,--,585,黑龙江,理科,2017,第一批,加入对比 ,2
信息与计算科学,中央民族大学,--,592,黑龙江,理科,2017,第一批,加入对比 ,2
外国语言文学类,中央民族大学,--,590,黑龙江,理科,2017,第一批,加入对比 ,2
法学,中央民族大学,--,587,黑龙江,理科,2017,第一批,加入对比 ,2
经济学类,中央民族大学,--,601,黑龙江,理科,2017,第一批,加入对比 ,2
历史学,中央民族大学,--,587,黑龙江,文科,2017,第一批,加入对比 ,2
新闻传播学类,中央民族大学,--,581,黑龙江,文科,2017,第一批,加入对比 ,2
日语,中央民族大学,--,576,黑龙江,文科,2017,第一批,加入对比 ,2
外国语言文学类,中央民族大学,--,573,黑龙江,文科,2017,第一批,加入对比 ,2
中国语言文学类,中央民族大学,--,578,黑龙江,文科,2017,第一批,加入对比 ,2
