专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
外国语言文学类,中山大学,--,602,天津,文科,2017,第一批,加入对比 ,1
新闻传播学类,中山大学,--,602,天津,文科,2017,第一批,加入对比 ,1
汉语言文学,中山大学,--,602,天津,文科,2017,第一批,加入对比 ,1
法语,中山大学,--,605,天津,文科,2017,第一批,加入对比 ,1
英语,中山大学,--,606,天津,文科,2017,第一批,加入对比 ,1
人类学,中山大学,--,609,天津,文科,2017,第一批,加入对比 ,1
法学,中山大学,--,612,天津,文科,2017,第一批,加入对比 ,1
经济学类,中山大学,--,622,天津,文科,2017,第一批,加入对比 ,1
海洋科学,中山大学,--,628,天津,理科,2017,第一批,加入对比 ,1
预防医学,中山大学,--,629,天津,理科,2017,第一批,加入对比 ,1
化学类,中山大学,--,631,天津,理科,2017,第一批,加入对比 ,1
生物科学类,中山大学,--,635,天津,理科,2017,第一批,加入对比 ,1
心理学,中山大学,--,636,天津,理科,2017,第一批,加入对比 ,1
光电信息科学与工程,中山大学,--,642,天津,理科,2017,第一批,加入对比 ,1
经济学类,中山大学,--,643,天津,理科,2017,第一批,加入对比 ,1
金融学,中山大学,--,645,天津,理科,2017,第一批,加入对比 ,1
数学类,中山大学,--,647,天津,理科,2017,第一批,加入对比 ,1
会计学,中山大学,--,651,天津,理科,2017,第一批,加入对比 ,1
外国语言文学类,中山大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
汉语言文学,中山大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
国际政治,中山大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
日语,中山大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
人类学,中山大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
会计学,中山大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
法学,中山大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
生物医学工程,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
地理科学类,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
理论与应用力学,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
核工程类,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
海洋科学,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
化学类,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
信息管理与信息系统,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
软件工程,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物科学类,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
物理学,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
数学类,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
经济学类,中山大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
