专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
俄语,兰州大学,--,594,北京,文科,2017,第一批,加入对比 ,1
历史学类,兰州大学,--,596,北京,文科,2017,第一批,加入对比 ,1
新闻传播学类,兰州大学,--,605,北京,文科,2017,第一批,加入对比 ,1
化学类,兰州大学,--,603,北京,理科,2017,第一批,加入对比 ,1
大气科学类,兰州大学,--,607,北京,理科,2017,第一批,加入对比 ,1
核工程类,兰州大学,--,608,北京,理科,2017,第一批,加入对比 ,1
物理学类,兰州大学,--,609,北京,理科,2017,第一批,加入对比 ,1
应用物理学,兰州大学,--,610,北京,理科,2017,第一批,加入对比 ,1
经济学类,兰州大学,--,610,北京,理科,2017,第一批,加入对比 ,1
生物科学类,兰州大学,--,614,北京,理科,2017,第一批,加入对比 ,1
德语,兰州大学,--,574,天津,文科,2017,第一批,加入对比 ,1
日语,兰州大学,--,575,天津,文科,2017,第一批,加入对比 ,1
政治学类,兰州大学,--,575,天津,文科,2017,第一批,加入对比 ,1
经济学类,兰州大学,--,576,天津,文科,2017,第一批,加入对比 ,1
英语,兰州大学,--,577,天津,文科,2017,第一批,加入对比 ,1
社会学,兰州大学,--,579,天津,文科,2017,第一批,加入对比 ,1
新闻传播学类,兰州大学,--,576,天津,文科,2017,第一批,加入对比 ,1
法学,兰州大学,--,576,天津,文科,2017,第一批,加入对比 ,1
汉语言文学,兰州大学,--,584,天津,文科,2017,第一批,加入对比 ,1
历史学类,兰州大学,--,584,天津,文科,2017,第一批,加入对比 ,1
公共事业管理,兰州大学,--,586,天津,理科,2017,第一批,加入对比 ,1
农林经济管理,兰州大学,--,589,天津,理科,2017,第一批,加入对比 ,1
环境科学与工程类,兰州大学,--,593,天津,理科,2017,第一批,加入对比 ,1
地理科学类,兰州大学,--,596,天津,理科,2017,第一批,加入对比 ,1
生物科学类,兰州大学,--,597,天津,理科,2017,第一批,加入对比 ,1
大气科学类,兰州大学,--,606,天津,理科,2017,第一批,加入对比 ,2
