专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
社会学,北京大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
新闻传播学类,北京大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
法学,北京大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
中国语言文学类,北京大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
英语,北京大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
城乡规划,北京大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
物理学类,北京大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
化学类,北京大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
心理学,北京大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
数学类,北京大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
生物科学,北京大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
经济学类,北京大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
英语,北京大学医学部,--,--,辽宁,理科,2017,第一批,加入对比 ,1
预防医学,北京大学医学部,--,--,辽宁,理科,2017,第一批,加入对比 ,1
基础医学,北京大学医学部,--,--,辽宁,理科,2017,第一批,加入对比 ,1
国际政治,北京大学,--,659,吉林,文科,2017,第一批,加入对比 ,1
社会学,北京大学,--,646,吉林,文科,2017,第一批,加入对比 ,1
经济学类,北京大学,--,654,吉林,文科,2017,第一批,加入对比 ,1
哲学类,北京大学,--,661,吉林,文科,2017,第一批,加入对比 ,1
法学,北京大学,--,662,吉林,文科,2017,第一批,加入对比 ,1
信息管理与信息系统,北京大学,--,659,吉林,文科,2017,第一批,加入对比 ,1
中国语言文学类,北京大学,--,672,吉林,文科,2017,第一批,加入对比 ,1
生物科学,北京大学,--,670,吉林,理科,2017,第一批,加入对比 ,1
地球物理学类,北京大学,--,686,吉林,理科,2017,第一批,加入对比 ,1
法学,北京大学,--,686,吉林,理科,2017,第一批,加入对比 ,1
经济学类,北京大学,--,688,吉林,理科,2017,第一批,加入对比 ,2
基础医学,北京大学医学部,--,662,吉林,理科,2017,第一批,加入对比 ,2
英语,北京大学医学部,--,664,吉林,理科,2017,第一批,加入对比 ,2
预防医学,北京大学医学部,--,670,吉林,理科,2017,第一批,加入对比 ,2
中国语言文学类,北京大学,--,642,黑龙江,文科,2017,第一批,加入对比 ,2
社会学,北京大学,--,635,黑龙江,文科,2017,第一批,加入对比 ,2
国际政治,北京大学,--,640,黑龙江,文科,2017,第一批,加入对比 ,2
法学,北京大学,--,636,黑龙江,文科,2017,第一批,加入对比 ,2
经济学类,北京大学,--,648,黑龙江,文科,2017,第一批,加入对比 ,2
物理学类,北京大学,--,693,黑龙江,理科,2017,第一批,加入对比 ,2
数学类,北京大学,--,685,黑龙江,理科,2017,第一批,加入对比 ,2
经济学类,北京大学,--,683,黑龙江,理科,2017,第一批,加入对比 ,2
俄语,北京大学,--,633,黑龙江,文科,2017,提前批,加入对比 ,2
法语,北京大学,--,664,黑龙江,理科,2017,提前批,加入对比 ,2
预防医学,北京大学医学部,--,657,黑龙江,理科,2017,第一批,加入对比 ,2
基础医学,北京大学医学部,--,660,黑龙江,理科,2017,第一批,加入对比 ,2
英语,北京大学医学部,--,661,黑龙江,理科,2017,第一批,加入对比 ,2
物理学类,北京大学,--,416,江苏,理科,2017,第一批,加入对比 ,2
数学类,北京大学,--,425,江苏,理科,2017,第一批,加入对比 ,2
经济学类,北京大学,--,418,江苏,理科,2017,第一批,加入对比 ,2
中国语言文学类,北京大学,--,413,江苏,文科,2017,第一批,加入对比 ,2
新闻传播学类,北京大学,--,409,江苏,文科,2017,第一批,加入对比 ,2
社会学,北京大学,--,413,江苏,文科,2017,第一批,加入对比 ,2
历史学类,北京大学,--,410,江苏,文科,2017,第一批,加入对比 ,2
考古学,北京大学,--,405,江苏,文科,2017,第一批,加入对比 ,2
经济学类,北京大学,--,414,江苏,文科,2017,第一批,加入对比 ,2
国际政治,北京大学,--,410,江苏,文科,2017,第一批,加入对比 ,2
法学,北京大学,--,413,江苏,文科,2017,第一批,加入对比 ,2
预防医学,北京大学医学部,--,397,江苏,理科,2017,第一批,加入对比 ,2
