专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
汉语国际教育,北京师范大学珠海分校,--,546,北京,文科,2017,第二批,加入对比 ,1
汉语言文学,北京师范大学,--,629,天津,文科,2017,第一批,加入对比 ,1
历史学,北京师范大学,--,634,天津,文科,2017,第一批,加入对比 ,1
计算机科学与技术,北京师范大学,--,655,天津,理科,2017,第一批,加入对比 ,1
化学,北京师范大学,--,661,天津,理科,2017,第一批,加入对比 ,1
心理学,北京师范大学,--,665,天津,理科,2017,第一批,加入对比 ,1
新闻传播学类,北京师范大学-香港浸会大学联合国际学院,--,--,天津,文科,2017,第一批,加入对比 ,1
外国语言文学类,北京师范大学-香港浸会大学联合国际学院,--,--,天津,理科,2017,第一批,加入对比 ,1
金融学类,北京师范大学-香港浸会大学联合国际学院,--,--,天津,理科,2017,第一批,加入对比 ,1
经济学类,北京师范大学-香港浸会大学联合国际学院,--,--,天津,文科,2017,第一批,加入对比 ,1
法学,北京师范大学珠海分校,--,559,天津,文科,2017,第二批,加入对比 ,1
金融学,北京师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
教育学,北京师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
工商管理,北京师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
法学,北京师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
英语,北京师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
汉语言文学,北京师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
生物科学类,北京师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
资源环境科学,北京师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
计算机科学与技术,北京师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
化学,北京师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
管理科学与工程类,北京师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
英语,北京师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
心理学,北京师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
数学与应用数学,北京师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
环境科学与工程类,北京师范大学-香港浸会大学联合国际学院,--,--,辽宁,理科,2017,第一批,加入对比 ,2
食品科学与工程类,北京师范大学-香港浸会大学联合国际学院,--,--,辽宁,理科,2017,第一批,加入对比 ,2
外国语言文学类,北京师范大学-香港浸会大学联合国际学院,--,--,辽宁,理科,2017,第一批,加入对比 ,2
统计学类,北京师范大学-香港浸会大学联合国际学院,--,--,辽宁,理科,2017,第一批,加入对比 ,2
经济学类,北京师范大学-香港浸会大学联合国际学院,--,--,辽宁,理科,2017,第一批,加入对比 ,2
新闻传播学类,北京师范大学-香港浸会大学联合国际学院,--,--,辽宁,文科,2017,第一批,加入对比 ,2
金融学类,北京师范大学-香港浸会大学联合国际学院,--,--,辽宁,理科,2017,第一批,加入对比 ,2
新闻传播学类,北京师范大学-香港浸会大学联合国际学院,--,--,辽宁,理科,2017,第一批,加入对比 ,2
数学与应用数学,北京师范大学珠海分校,--,--,辽宁,理科,2017,第二批,加入对比 ,2
应用统计学,北京师范大学珠海分校,--,--,辽宁,理科,2017,第二批,加入对比 ,2
金融学,北京师范大学珠海分校,--,--,辽宁,理科,2017,第二批,加入对比 ,2
法学,北京师范大学珠海分校,--,--,辽宁,文科,2017,第二批,加入对比 ,2
汉语国际教育,北京师范大学珠海分校,--,--,辽宁,文科,2017,第二批,加入对比 ,2
传播学,北京师范大学,--,605,吉林,文科,2017,提前批,加入对比 ,2
社会学,北京师范大学,--,615,吉林,文科,2017,提前批,加入对比 ,2
汉语言文学,北京师范大学,--,614,吉林,文科,2017,提前批,加入对比 ,2
教育学,北京师范大学,--,617,吉林,文科,2017,提前批,加入对比 ,2
法学,北京师范大学,--,624,吉林,文科,2017,提前批,加入对比 ,2
环境科学,北京师范大学,--,640,吉林,理科,2017,提前批,加入对比 ,2
经济学,北京师范大学,--,644,吉林,理科,2017,提前批,加入对比 ,2
化学,北京师范大学,--,648,吉林,理科,2017,提前批,加入对比 ,2
物理学,北京师范大学,--,654,吉林,理科,2017,提前批,加入对比 ,2
金融学,北京师范大学,--,655,吉林,理科,2017,提前批,加入对比 ,2
统计学,北京师范大学,--,652,吉林,理科,2017,提前批,加入对比 ,2
会计学,北京师范大学,--,665,吉林,理科,2017,提前批,加入对比 ,2
教育学,北京师范大学,--,654,吉林,理科,2017,提前批,加入对比 ,2
心理学,北京师范大学,--,655,吉林,理科,2017,提前批,加入对比 ,2
数学与应用数学,北京师范大学,--,660,吉林,理科,2017,提前批,加入对比 ,2
经济学类,北京师范大学-香港浸会大学联合国际学院,--,529,吉林,理科,2017,第一批,加入对比 ,2
金融学类,北京师范大学-香港浸会大学联合国际学院,--,565,吉林,理科,2017,第一批,加入对比 ,2
环境科学与工程,北京师范大学珠海分校,--,424,吉林,理科,2017,第二批,加入对比 ,2
编辑出版学,北京师范大学珠海分校,--,501,吉林,文科,2017,第二批,加入对比 ,2
教育学,北京师范大学珠海分校,--,505,吉林,文科,2017,第二批,加入对比 ,2
历史学,北京师范大学,--,605,黑龙江,文科,2017,提前批,加入对比 ,2
英语,北京师范大学,--,601,黑龙江,文科,2017,提前批,加入对比 ,2
汉语言文学,北京师范大学,--,620,黑龙江,文科,2017,提前批,加入对比 ,2
教育学,北京师范大学,--,609,黑龙江,文科,2017,提前批,加入对比 ,2
社会学,北京师范大学,--,602,黑龙江,文科,2017,提前批,加入对比 ,2
法学,北京师范大学,--,603,黑龙江,文科,2017,提前批,加入对比 ,2
金融学,北京师范大学,--,608,黑龙江,文科,2017,提前批,加入对比 ,2
管理科学与工程类,北京师范大学,--,632,黑龙江,理科,2017,提前批,加入对比 ,2
统计学,北京师范大学,--,640,黑龙江,理科,2017,提前批,加入对比 ,2
心理学,北京师范大学,--,662,黑龙江,理科,2017,提前批,加入对比 ,2
生物科学类,北京师范大学,--,639,黑龙江,理科,2017,提前批,加入对比 ,2
化学,北京师范大学,--,669,黑龙江,理科,2017,提前批,加入对比 ,2
物理学,北京师范大学,--,638,黑龙江,理科,2017,提前批,加入对比 ,2
数学与应用数学,北京师范大学,--,675,黑龙江,理科,2017,提前批,加入对比 ,2
英语,北京师范大学,--,646,黑龙江,理科,2017,提前批,加入对比 ,2
教育学,北京师范大学,--,636,黑龙江,理科,2017,提前批,加入对比 ,2
法学,北京师范大学,--,639,黑龙江,理科,2017,提前批,加入对比 ,2
教育学,北京师范大学,--,654,吉林,理科,2017,提前批,加入对比 ,3
心理学,北京师范大学,--,655,吉林,理科,2017,提前批,加入对比 ,3
数学与应用数学,北京师范大学,--,660,吉林,理科,2017,提前批,加入对比 ,3
经济学类,北京师范大学-香港浸会大学联合国际学院,--,529,吉林,理科,2017,第一批,加入对比 ,3
金融学类,北京师范大学-香港浸会大学联合国际学院,--,565,吉林,理科,2017,第一批,加入对比 ,3
环境科学与工程,北京师范大学珠海分校,--,424,吉林,理科,2017,第二批,加入对比 ,3
编辑出版学,北京师范大学珠海分校,--,501,吉林,文科,2017,第二批,加入对比 ,3
教育学,北京师范大学珠海分校,--,505,吉林,文科,2017,第二批,加入对比 ,3
历史学,北京师范大学,--,605,黑龙江,文科,2017,提前批,加入对比 ,3
英语,北京师范大学,--,601,黑龙江,文科,2017,提前批,加入对比 ,3
汉语言文学,北京师范大学,--,620,黑龙江,文科,2017,提前批,加入对比 ,3
教育学,北京师范大学,--,609,黑龙江,文科,2017,提前批,加入对比 ,3
社会学,北京师范大学,--,602,黑龙江,文科,2017,提前批,加入对比 ,3
法学,北京师范大学,--,603,黑龙江,文科,2017,提前批,加入对比 ,3
金融学,北京师范大学,--,608,黑龙江,文科,2017,提前批,加入对比 ,3
管理科学与工程类,北京师范大学,--,632,黑龙江,理科,2017,提前批,加入对比 ,3
统计学,北京师范大学,--,640,黑龙江,理科,2017,提前批,加入对比 ,3
心理学,北京师范大学,--,662,黑龙江,理科,2017,提前批,加入对比 ,3
