专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
外国语言文学类,北京理工大学,--,625,北京,文科,2017,第一批,加入对比 ,1
光电信息科学与工程,北京理工大学,--,646,天津,理科,2017,第一批,加入对比 ,1
机械类,北京理工大学,--,648,天津,理科,2017,第一批,加入对比 ,1
兵器类,北京理工大学,--,650,天津,理科,2017,第一批,加入对比 ,1
航空航天类,北京理工大学,--,653,天津,理科,2017,第一批,加入对比 ,1
机械设计制造及其自动化,北京理工大学珠海学院,--,417,天津,理科,2017,第二批,加入对比 ,1
自动化,北京理工大学珠海学院,--,430,天津,理科,2017,第二批,加入对比 ,1
外国语言文学类,北京理工大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
生物医学工程类,北京理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
机械类,北京理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
航空航天类,北京理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
机械设计制造及其自动化,北京理工大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
通信工程,北京理工大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
工程管理,北京理工大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
金融工程,北京理工大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
软件工程,北京理工大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
兵器类,北京理工大学,--,636,吉林,理科,2017,第一批,加入对比 ,1
机械类,北京理工大学,--,646,吉林,理科,2017,第一批,加入对比 ,1
航空航天类,北京理工大学,--,646,吉林,理科,2017,第一批,加入对比 ,1
光电信息科学与工程,北京理工大学,--,645,吉林,理科,2017,第一批,加入对比 ,1
工业工程,北京理工大学珠海学院,--,425,吉林,理科,2017,第二批,加入对比 ,1
电气工程及其自动化,北京理工大学珠海学院,--,438,吉林,理科,2017,第二批,加入对比 ,1
环境工程,北京理工大学珠海学院,--,447,吉林,理科,2017,第二批,加入对比 ,1
交通运输,北京理工大学珠海学院,--,459,吉林,理科,2017,第二批,加入对比 ,1
飞行器制造工程,北京理工大学珠海学院,--,468,吉林,理科,2017,第二批,加入对比 ,1
网络工程,北京理工大学珠海学院,--,471,吉林,理科,2017,第二批,加入对比 ,2
机械设计制造及其自动化,北京理工大学珠海学院,--,468,吉林,理科,2017,第二批,加入对比 ,2
法学,北京理工大学珠海学院,--,505,吉林,文科,2017,第二批,加入对比 ,2
会计学,北京理工大学珠海学院,--,507,吉林,文科,2017,第二批,加入对比 ,2
设计学类,北京理工大学,--,619,黑龙江,理科,2017,第一批,加入对比 ,2
生物医学工程类,北京理工大学,--,619,黑龙江,理科,2017,第一批,加入对比 ,2
航空航天类,北京理工大学,--,630,黑龙江,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,北京理工大学,--,623,黑龙江,理科,2017,第一批,加入对比 ,2
机械类,北京理工大学,--,635,黑龙江,理科,2017,第一批,加入对比 ,2
外国语言文学类,北京理工大学,--,586,黑龙江,文科,2017,第一批,加入对比 ,2
飞行器制造工程,北京理工大学珠海学院,--,392,黑龙江,理科,2017,第三批,加入对比 ,2
计算机科学与技术,北京理工大学珠海学院,--,378,黑龙江,理科,2017,第三批,加入对比 ,2
机械设计制造及其自动化,北京理工大学珠海学院,--,397,黑龙江,理科,2017,第三批,加入对比 ,2
应用统计学,北京理工大学珠海学院,--,394,黑龙江,理科,2017,第三批,加入对比 ,2
金融工程,北京理工大学珠海学院,--,423,黑龙江,理科,2017,第三批,加入对比 ,2
法学,北京理工大学珠海学院,--,426,黑龙江,文科,2017,第三批,加入对比 ,2
生物医学工程类,北京理工大学,--,378,江苏,理科,2017,第一批,加入对比 ,2
机械类,北京理工大学,--,381,江苏,理科,2017,第一批,加入对比 ,2
航空航天类,北京理工大学,--,380,江苏,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,北京理工大学,--,378,江苏,理科,2017,第一批,加入对比 ,2
兵器类,北京理工大学,--,382,江苏,理科,2017,第一批,加入对比 ,2
外国语言文学类,北京理工大学,--,374,江苏,文科,2017,第一批,加入对比 ,2
自动化,北京理工大学珠海学院,--,311,江苏,理科,2017,第二批,加入对比 ,2
土木工程,北京理工大学珠海学院,--,299,江苏,理科,2017,第二批,加入对比 ,2
生物工程,北京理工大学珠海学院,--,289,江苏,理科,2017,第二批,加入对比 ,2
软件工程,北京理工大学珠海学院,--,313,江苏,理科,2017,第二批,加入对比 ,2
金融工程,北京理工大学珠海学院,--,312,江苏,理科,2017,第二批,加入对比 ,2
机械设计制造及其自动化,北京理工大学珠海学院,--,287,江苏,理科,2017,第二批,加入对比 ,2
会计学,北京理工大学珠海学院,--,307,江苏,理科,2017,第二批,加入对比 ,2
工程管理,北京理工大学珠海学院,--,282,江苏,理科,2017,第二批,加入对比 ,2
飞行器制造工程,北京理工大学珠海学院,--,287,江苏,理科,2017,第二批,加入对比 ,2
