专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
管理科学与工程类,北京航空航天大学,660,--,辽宁,理科,2016,第一批,加入对比 ,1
物理学类,北京航空航天大学,660,--,辽宁,理科,2016,第一批,加入对比 ,1
数学类,北京航空航天大学,660,--,辽宁,理科,2016,第一批,加入对比 ,1
环境科学与工程类,北京航空航天大学,660,--,辽宁,理科,2016,第一批,加入对比 ,1
飞行器质量与可靠性,北京航空航天大学,660,--,辽宁,理科,2016,第一批,加入对比 ,1
交通运输类,北京航空航天大学,660,--,辽宁,理科,2016,第一批,加入对比 ,1
机械工程,北京航空航天大学,661,--,辽宁,理科,2016,第一批,加入对比 ,1
仪器类,北京航空航天大学,662,--,辽宁,理科,2016,第一批,加入对比 ,1
电气类,北京航空航天大学,663,--,辽宁,理科,2016,第一批,加入对比 ,1
飞行器设计与工程,北京航空航天大学,663,--,辽宁,理科,2016,第一批,加入对比 ,1
飞行器动力工程,北京航空航天大学,664,--,辽宁,理科,2016,第一批,加入对比 ,1
软件工程,北京航空航天大学,664,--,辽宁,理科,2016,第一批,加入对比 ,1
计算机科学与技术,北京航空航天大学,667,--,辽宁,理科,2016,第一批,加入对比 ,1
化学类,北京航空航天大学,654,654,黑龙江,理科,2016,第一批,加入对比 ,1
管理科学与工程类,北京航空航天大学,654,655,黑龙江,理科,2016,第一批,加入对比 ,1
仪器类,北京航空航天大学,655,657,黑龙江,理科,2016,第一批,加入对比 ,1
物理学类,北京航空航天大学,655,656,黑龙江,理科,2016,第一批,加入对比 ,1
生物医学工程类,北京航空航天大学,655,655,黑龙江,理科,2016,第一批,加入对比 ,1
机械工程,北京航空航天大学,656,657,黑龙江,理科,2016,第一批,加入对比 ,1
软件工程,北京航空航天大学,657,659,黑龙江,理科,2016,第一批,加入对比 ,1
电气类,北京航空航天大学,659,659,黑龙江,理科,2016,第一批,加入对比 ,1
飞行器设计与工程,北京航空航天大学,660,664,黑龙江,理科,2016,第一批,加入对比 ,1
飞行器动力工程,北京航空航天大学,662,665,黑龙江,理科,2016,第一批,加入对比 ,1
计算机科学与技术,北京航空航天大学,664,667,黑龙江,理科,2016,第一批,加入对比 ,1
管理科学与工程类,北京航空航天大学,--,391,江苏,理科,2016,第一批,加入对比 ,1
电气类,北京航空航天大学,--,391,江苏,理科,2016,第一批,加入对比 ,2
化学类,北京航空航天大学,654,--,安徽,理科,2016,第一批,加入对比 ,2
生物医学工程类,北京航空航天大学,654,--,安徽,理科,2016,第一批,加入对比 ,2
环境科学与工程类,北京航空航天大学,654,--,安徽,理科,2016,第一批,加入对比 ,2
飞行器质量与可靠性,北京航空航天大学,654,--,安徽,理科,2016,第一批,加入对比 ,2
管理科学与工程类,北京航空航天大学,656,--,安徽,理科,2016,第一批,加入对比 ,2
电气类,北京航空航天大学,656,--,安徽,理科,2016,第一批,加入对比 ,2
机械工程,北京航空航天大学,656,--,安徽,理科,2016,第一批,加入对比 ,2
