专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
英语,华东师范大学,--,622,北京,文科,2017,第一批,加入对比 ,1
工商管理,华东师范大学,--,622,北京,文科,2017,第一批,加入对比 ,1
汉语国际教育,华东师范大学,--,623,北京,文科,2017,第一批,加入对比 ,1
法学,华东师范大学,--,625,北京,文科,2017,第一批,加入对比 ,1
汉语言文学,华东师范大学,--,626,北京,文科,2017,第一批,加入对比 ,1
金融学类,华东师范大学,--,630,北京,文科,2017,第一批,加入对比 ,1
物理学类,华东师范大学,--,635,北京,理科,2017,第一批,加入对比 ,1
软件工程,华东师范大学,--,635,北京,理科,2017,第一批,加入对比 ,1
人文地理与城乡规划,华东师范大学,--,635,北京,理科,2017,第一批,加入对比 ,1
生态学,华东师范大学,--,636,北京,理科,2017,第一批,加入对比 ,1
数学类,华东师范大学,--,637,北京,理科,2017,第一批,加入对比 ,1
统计学类,华东师范大学,--,637,北京,理科,2017,第一批,加入对比 ,1
汉语国际教育,华东师范大学,--,637,北京,理科,2017,第一批,加入对比 ,1
金融学类,华东师范大学,--,639,北京,理科,2017,第一批,加入对比 ,1
汉语言文学,华东师范大学,--,641,北京,理科,2017,第一批,加入对比 ,1
心理学类,华东师范大学,--,652,北京,理科,2017,第一批,加入对比 ,1
社会学类,华东师范大学,--,600,天津,文科,2017,第一批,加入对比 ,1
新闻传播学类,华东师范大学,--,600,天津,文科,2017,第一批,加入对比 ,1
汉语国际教育,华东师范大学,--,602,天津,文科,2017,第一批,加入对比 ,1
汉语言文学,华东师范大学,--,602,天津,文科,2017,第一批,加入对比 ,1
法学,华东师范大学,--,608,天津,文科,2017,第一批,加入对比 ,1
金融学类,华东师范大学,--,609,天津,文科,2017,第一批,加入对比 ,1
化学,华东师范大学,--,629,天津,理科,2017,第一批,加入对比 ,1
软件工程,华东师范大学,--,631,天津,理科,2017,第一批,加入对比 ,1
计算机科学与技术,华东师范大学,--,632,天津,理科,2017,第一批,加入对比 ,1
工商管理,华东师范大学,--,634,天津,理科,2017,第一批,加入对比 ,2
物理学类,华东师范大学,--,635,天津,理科,2017,第一批,加入对比 ,2
金融学类,华东师范大学,--,641,天津,理科,2017,第一批,加入对比 ,2
统计学类,华东师范大学,--,642,天津,理科,2017,第一批,加入对比 ,2
心理学类,华东师范大学,--,645,天津,理科,2017,第一批,加入对比 ,2
公共事业管理,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
新闻传播学类,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
俄语,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
日语,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
德语,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
英语,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
哲学,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
历史学,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
人文地理与城乡规划,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
汉语国际教育,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
汉语言文学,华东师范大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
教育技术学,华东师范大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
