专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
预防医学,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
风景园林,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
信息管理与信息系统,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
建筑环境与能源应用工程,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
化学类,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
日语,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
生物医学工程类,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
船舶与海洋工程,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
海洋工程类,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
金融学,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
土木类,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
生物科学类,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
材料成型及控制工程,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
数学类,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
软件工程,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电子信息工程,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
能源动力类,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
机械类,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,华中科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
生物医学工程类,华中科技大学,--,621,吉林,理科,2017,第一批,加入对比 ,1
建筑环境与能源应用工程,华中科技大学,--,625,吉林,理科,2017,第一批,加入对比 ,1
法医学,华中科技大学,--,624,吉林,理科,2017,第一批,加入对比 ,1
化学类,华中科技大学,--,627,吉林,理科,2017,第一批,加入对比 ,1
功能材料,华中科技大学,--,632,吉林,理科,2017,第一批,加入对比 ,1
生物医学工程,华中科技大学,--,628,吉林,理科,2017,第一批,加入对比 ,1
预防医学,华中科技大学,--,631,吉林,理科,2017,第一批,加入对比 ,2
软件工程,华中科技大学,--,635,吉林,理科,2017,第一批,加入对比 ,2
数学类,华中科技大学,--,633,吉林,理科,2017,第一批,加入对比 ,2
土木类,华中科技大学,--,633,吉林,理科,2017,第一批,加入对比 ,2
能源动力类,华中科技大学,--,638,吉林,理科,2017,第一批,加入对比 ,2
自动化,华中科技大学,--,638,吉林,理科,2017,第一批,加入对比 ,2
通信工程,华中科技大学,--,639,吉林,理科,2017,第一批,加入对比 ,2
机械类,华中科技大学,--,648,吉林,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,华中科技大学,--,660,吉林,理科,2017,第一批,加入对比 ,2
信息管理与信息系统,华中科技大学,--,624,黑龙江,理科,2017,第一批,加入对比 ,2
法医学,华中科技大学,--,619,黑龙江,理科,2017,第一批,加入对比 ,2
预防医学,华中科技大学,--,638,黑龙江,理科,2017,第一批,加入对比 ,2
城乡规划,华中科技大学,--,622,黑龙江,理科,2017,第一批,加入对比 ,2
海洋工程类,华中科技大学,--,619,黑龙江,理科,2017,第一批,加入对比 ,2
水利水电工程,华中科技大学,--,622,黑龙江,理科,2017,第一批,加入对比 ,2
软件工程,华中科技大学,--,626,黑龙江,理科,2017,第一批,加入对比 ,2
自动化,华中科技大学,--,633,黑龙江,理科,2017,第一批,加入对比 ,2
通信工程,华中科技大学,--,635,黑龙江,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,华中科技大学,--,639,黑龙江,理科,2017,第一批,加入对比 ,2
能源动力类,华中科技大学,--,628,黑龙江,理科,2017,第一批,加入对比 ,2
材料成型及控制工程,华中科技大学,--,625,黑龙江,理科,2017,第一批,加入对比 ,2
机械类,华中科技大学,--,640,黑龙江,理科,2017,第一批,加入对比 ,2
生物科学类,华中科技大学,--,631,黑龙江,理科,2017,第一批,加入对比 ,2
物理学类,华中科技大学,--,621,黑龙江,理科,2017,第一批,加入对比 ,2
金融学,华中科技大学,--,627,黑龙江,理科,2017,第一批,加入对比 ,2
自动化,华中科技大学,--,383,江苏,理科,2017,第一批,加入对比 ,2
预防医学,华中科技大学,--,383,江苏,理科,2017,第一批,加入对比 ,2
医学影像学,华中科技大学,--,383,江苏,理科,2017,第一批,加入对比 ,2
信息管理与信息系统,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,2
物理学类,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,2
土木类,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,2
通信工程,华中科技大学,--,383,江苏,理科,2017,第一批,加入对比 ,2
水利水电工程,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,2
数学类,华中科技大学,--,384,江苏,理科,2017,第一批,加入对比 ,2
生物医学工程类,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,2
生物医学工程,华中科技大学,--,379,江苏,理科,2017,第一批,加入对比 ,2
生物科学类,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,2
生物技术,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,2
软件工程,华中科技大学,--,386,江苏,理科,2017,第一批,加入对比 ,2
能源动力类,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,2
经济学,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,2
金融工程,华中科技大学,--,386,江苏,理科,2017,第一批,加入对比 ,2
建筑学,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,2
集成电路设计与集成系统,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,2
机械类,华中科技大学,--,390,江苏,理科,2017,第一批,加入对比 ,2
化学类,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,2
化学,华中科技大学,--,379,江苏,理科,2017,第一批,加入对比 ,2
海洋工程类,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,2
功能材料,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,2
自动化,华中科技大学,--,383,江苏,理科,2017,第一批,加入对比 ,3
预防医学,华中科技大学,--,383,江苏,理科,2017,第一批,加入对比 ,3
医学影像学,华中科技大学,--,383,江苏,理科,2017,第一批,加入对比 ,3
信息管理与信息系统,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
物理学类,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,3
土木类,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,3
通信工程,华中科技大学,--,383,江苏,理科,2017,第一批,加入对比 ,3
水利水电工程,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
数学类,华中科技大学,--,384,江苏,理科,2017,第一批,加入对比 ,3
生物医学工程类,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
生物医学工程,华中科技大学,--,379,江苏,理科,2017,第一批,加入对比 ,3
生物科学类,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,3
生物技术,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,3
软件工程,华中科技大学,--,386,江苏,理科,2017,第一批,加入对比 ,3
能源动力类,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,3
经济学,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
金融工程,华中科技大学,--,386,江苏,理科,2017,第一批,加入对比 ,3
建筑学,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,3
集成电路设计与集成系统,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,3
机械类,华中科技大学,--,390,江苏,理科,2017,第一批,加入对比 ,3
化学类,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
化学,华中科技大学,--,379,江苏,理科,2017,第一批,加入对比 ,3
海洋工程类,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,3
光电信息科学与工程,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,3
功能材料,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,3
给排水科学与工程,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
风景园林,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
飞行器设计与工程,华中科技大学,--,382,江苏,理科,2017,第一批,加入对比 ,3
法医学,华中科技大学,--,384,江苏,理科,2017,第一批,加入对比 ,3
电子信息工程,华中科技大学,--,387,江苏,理科,2017,第一批,加入对比 ,3
电气工程及其自动化,华中科技大学,--,389,江苏,理科,2017,第一批,加入对比 ,3
电磁场与无线技术,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,3
船舶与海洋工程,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
测控技术与仪器,华中科技大学,--,381,江苏,理科,2017,第一批,加入对比 ,3
材料科学与工程,华中科技大学,--,384,江苏,理科,2017,第一批,加入对比 ,3
材料成型及控制工程,华中科技大学,--,380,江苏,理科,2017,第一批,加入对比 ,3
