专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
广告学,华南理工大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
日语,华南理工大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
传播学,华南理工大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
法学,华南理工大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
会展经济与管理,华南理工大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
医学影像学,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
船舶与海洋工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
新闻学,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
环境科学,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
城乡规划,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
会计学,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
食品科学与工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
交通运输,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
数学类,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
能源化学工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
材料科学与工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电子科学与技术,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
材料成型及控制工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
信息工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
土木工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
数学与应用数学,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
化学类,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
建筑学,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
物流工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
机械电子工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
软件工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
机械工程,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
自动化,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
计算机科学与技术,华南理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
金融学,华南理工大学,--,572,吉林,文科,2017,第一批,加入对比 ,2
新闻学,华南理工大学,--,609,吉林,理科,2017,第一批,加入对比 ,2
食品科学与工程,华南理工大学,--,609,吉林,理科,2017,第一批,加入对比 ,2
环境工程,华南理工大学,--,611,吉林,理科,2017,第一批,加入对比 ,2
车辆工程,华南理工大学,--,613,吉林,理科,2017,第一批,加入对比 ,2
能源化学工程,华南理工大学,--,612,吉林,理科,2017,第一批,加入对比 ,2
水利水电工程,华南理工大学,--,614,吉林,理科,2017,第一批,加入对比 ,2
应用物理学,华南理工大学,--,614,吉林,理科,2017,第一批,加入对比 ,2
工程力学,华南理工大学,--,614,吉林,理科,2017,第一批,加入对比 ,2
交通运输,华南理工大学,--,614,吉林,理科,2017,第一批,加入对比 ,2
安全工程,华南理工大学,--,615,吉林,理科,2017,第一批,加入对比 ,2
会计学,华南理工大学,--,618,吉林,理科,2017,第一批,加入对比 ,2
工商管理,华南理工大学,--,618,吉林,理科,2017,第一批,加入对比 ,2
自动化,华南理工大学,--,619,吉林,理科,2017,第一批,加入对比 ,2
机械工程,华南理工大学,--,619,吉林,理科,2017,第一批,加入对比 ,2
数学与应用数学,华南理工大学,--,624,吉林,理科,2017,第一批,加入对比 ,2
材料科学与工程,华南理工大学,--,621,吉林,理科,2017,第一批,加入对比 ,2
信息工程,华南理工大学,--,623,吉林,理科,2017,第一批,加入对比 ,2
城乡规划,华南理工大学,--,624,吉林,理科,2017,第一批,加入对比 ,2
生物工程,华南理工大学,--,625,吉林,理科,2017,第一批,加入对比 ,2
电子科学与技术,华南理工大学,--,626,吉林,理科,2017,第一批,加入对比 ,2
建筑学,华南理工大学,--,626,吉林,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,华南理工大学,--,636,吉林,理科,2017,第一批,加入对比 ,2
软件工程,华南理工大学,--,629,吉林,理科,2017,第一批,加入对比 ,2
化学类,华南理工大学,--,628,吉林,理科,2017,第一批,加入对比 ,2
计算机科学与技术,华南理工大学,--,630,吉林,理科,2017,第一批,加入对比 ,2
物流工程,华南理工大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,2
会计学,华南理工大学,--,609,黑龙江,理科,2017,第一批,加入对比 ,2
工商管理,华南理工大学,--,610,黑龙江,理科,2017,第一批,加入对比 ,2
生物工程,华南理工大学,--,607,黑龙江,理科,2017,第一批,加入对比 ,2
城乡规划,华南理工大学,--,608,黑龙江,理科,2017,第一批,加入对比 ,2
建筑学,华南理工大学,--,625,黑龙江,理科,2017,第一批,加入对比 ,2
环境工程,华南理工大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,2
核工程与核技术,华南理工大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,2
船舶与海洋工程,华南理工大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,2
土木工程,华南理工大学,--,619,黑龙江,理科,2017,第一批,加入对比 ,2
软件工程,华南理工大学,--,614,黑龙江,理科,2017,第一批,加入对比 ,2
计算机科学与技术,华南理工大学,--,623,黑龙江,理科,2017,第一批,加入对比 ,2
自动化,华南理工大学,--,618,黑龙江,理科,2017,第一批,加入对比 ,2
信息工程,华南理工大学,--,620,黑龙江,理科,2017,第一批,加入对比 ,2
电子科学与技术,华南理工大学,--,620,黑龙江,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,华南理工大学,--,620,黑龙江,理科,2017,第一批,加入对比 ,2
能源与动力工程,华南理工大学,--,614,黑龙江,理科,2017,第一批,加入对比 ,2
高分子材料与工程,华南理工大学,--,615,黑龙江,理科,2017,第一批,加入对比 ,2
材料化学,华南理工大学,--,613,黑龙江,理科,2017,第一批,加入对比 ,2
电子科学与技术,华南理工大学,--,626,吉林,理科,2017,第一批,加入对比 ,3
建筑学,华南理工大学,--,626,吉林,理科,2017,第一批,加入对比 ,3
电气工程及其自动化,华南理工大学,--,636,吉林,理科,2017,第一批,加入对比 ,3
软件工程,华南理工大学,--,629,吉林,理科,2017,第一批,加入对比 ,3
化学类,华南理工大学,--,628,吉林,理科,2017,第一批,加入对比 ,3
计算机科学与技术,华南理工大学,--,630,吉林,理科,2017,第一批,加入对比 ,3
物流工程,华南理工大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,3
会计学,华南理工大学,--,609,黑龙江,理科,2017,第一批,加入对比 ,3
工商管理,华南理工大学,--,610,黑龙江,理科,2017,第一批,加入对比 ,3
生物工程,华南理工大学,--,607,黑龙江,理科,2017,第一批,加入对比 ,3
城乡规划,华南理工大学,--,608,黑龙江,理科,2017,第一批,加入对比 ,3
建筑学,华南理工大学,--,625,黑龙江,理科,2017,第一批,加入对比 ,3
环境工程,华南理工大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,3
核工程与核技术,华南理工大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,3
船舶与海洋工程,华南理工大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,3
土木工程,华南理工大学,--,619,黑龙江,理科,2017,第一批,加入对比 ,3
软件工程,华南理工大学,--,614,黑龙江,理科,2017,第一批,加入对比 ,3
计算机科学与技术,华南理工大学,--,623,黑龙江,理科,2017,第一批,加入对比 ,3
自动化,华南理工大学,--,618,黑龙江,理科,2017,第一批,加入对比 ,3
信息工程,华南理工大学,--,620,黑龙江,理科,2017,第一批,加入对比 ,3
电子科学与技术,华南理工大学,--,620,黑龙江,理科,2017,第一批,加入对比 ,3
电气工程及其自动化,华南理工大学,--,620,黑龙江,理科,2017,第一批,加入对比 ,3
能源与动力工程,华南理工大学,--,614,黑龙江,理科,2017,第一批,加入对比 ,3
高分子材料与工程,华南理工大学,--,615,黑龙江,理科,2017,第一批,加入对比 ,3
材料化学,华南理工大学,--,613,黑龙江,理科,2017,第一批,加入对比 ,3
材料科学与工程,华南理工大学,--,617,黑龙江,理科,2017,第一批,加入对比 ,3
车辆工程,华南理工大学,--,613,黑龙江,理科,2017,第一批,加入对比 ,3
过程装备与控制工程,华南理工大学,--,608,黑龙江,理科,2017,第一批,加入对比 ,3
机械工程,华南理工大学,--,616,黑龙江,理科,2017,第一批,加入对比 ,3
应用化学,华南理工大学,--,610,黑龙江,理科,2017,第一批,加入对比 ,3
应用物理学,华南理工大学,--,608,黑龙江,理科,2017,第一批,加入对比 ,3
数学与应用数学,华南理工大学,--,610,黑龙江,理科,2017,第一批,加入对比 ,3
数学类,华南理工大学,--,614,黑龙江,理科,2017,第一批,加入对比 ,3
经济学,华南理工大学,--,612,黑龙江,理科,2017,第一批,加入对比 ,3
物流工程,华南理工大学广州学院,--,352,黑龙江,理科,2017,第三批,加入对比 ,3
工商管理,华南理工大学广州学院,--,369,黑龙江,理科,2017,第三批,加入对比 ,3
建筑学,华南理工大学广州学院,--,353,黑龙江,理科,2017,第三批,加入对比 ,3
通信工程,华南理工大学广州学院,--,360,黑龙江,理科,2017,第三批,加入对比 ,3
宝石及材料工艺学,华南理工大学广州学院,--,376,黑龙江,理科,2017,第三批,加入对比 ,3
车辆工程,华南理工大学广州学院,--,367,黑龙江,理科,2017,第三批,加入对比 ,3
机械工程,华南理工大学广州学院,--,357,黑龙江,理科,2017,第三批,加入对比 ,3
信息与计算科学,华南理工大学广州学院,--,352,黑龙江,理科,2017,第三批,加入对比 ,3
投资学,华南理工大学广州学院,--,378,黑龙江,理科,2017,第三批,加入对比 ,3
会计学,华南理工大学广州学院,--,411,黑龙江,文科,2017,第三批,加入对比 ,3
投资学,华南理工大学广州学院,--,398,黑龙江,文科,2017,第三批,加入对比 ,3
金融工程,华南理工大学广州学院,--,402,黑龙江,文科,2017,第三批,加入对比 ,3
税收学,华南理工大学广州学院,--,394,黑龙江,文科,2017,第三批,加入对比 ,3
自动化,华南理工大学,--,378,江苏,理科,2017,第一批,加入对比 ,3
应用化学,华南理工大学,--,375,江苏,理科,2017,第一批,加入对比 ,3
医学影像学,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
信息工程,华南理工大学,--,379,江苏,理科,2017,第一批,加入对比 ,3
信息安全,华南理工大学,--,378,江苏,理科,2017,第一批,加入对比 ,3
新闻学,华南理工大学,--,375,江苏,理科,2017,第一批,加入对比 ,3
物流工程,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
土木工程,华南理工大学,--,377,江苏,理科,2017,第一批,加入对比 ,3
水利水电工程,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
数学与应用数学,华南理工大学,--,378,江苏,理科,2017,第一批,加入对比 ,3
生物制药,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
生物医学工程,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
软件工程,华南理工大学,--,377,江苏,理科,2017,第一批,加入对比 ,3
轻化工程,华南理工大学,--,377,江苏,理科,2017,第一批,加入对比 ,3
能源与动力工程,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
能源化学工程,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
经济学,华南理工大学,--,377,江苏,理科,2017,第一批,加入对比 ,3
交通运输,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
建筑学,华南理工大学,--,378,江苏,理科,2017,第一批,加入对比 ,3
计算机科学与技术,华南理工大学,--,378,江苏,理科,2017,第一批,加入对比 ,3
机械工程,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
会计学,华南理工大学,--,378,江苏,理科,2017,第一批,加入对比 ,3
环境科学,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
化学工程与工艺,华南理工大学,--,376,江苏,理科,2017,第一批,加入对比 ,3
