专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
软件工程,南京大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
环境科学与工程类,南京大学金陵学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
土木工程,南京大学金陵学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
城乡规划,南京大学金陵学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
日语,南京大学金陵学院,--,--,辽宁,文科,2017,第二批,加入对比 ,1
新闻传播学类,南京大学金陵学院,--,--,辽宁,文科,2017,第二批,加入对比 ,1
软件工程,南京大学,--,668,吉林,理科,2017,第一批,加入对比 ,1
环境科学与工程,南京大学金陵学院,--,370,吉林,理科,2017,第三批,加入对比 ,1
地理信息科学,南京大学金陵学院,--,368,吉林,理科,2017,第三批,加入对比 ,1
土木工程,南京大学金陵学院,--,381,吉林,理科,2017,第三批,加入对比 ,1
城乡规划,南京大学金陵学院,--,388,吉林,理科,2017,第三批,加入对比 ,1
软件工程,南京大学,--,661,黑龙江,理科,2017,第一批,加入对比 ,1
软件工程,南京大学,--,404,江苏,理科,2017,第一批,加入对比 ,1
外国语言文学类,南京大学,--,394,江苏,文科,2017,第一批,加入对比 ,1
英语,南京大学金陵学院,--,332,江苏,理科,2017,第二批,加入对比 ,1
新闻传播学类,南京大学金陵学院,--,325,江苏,理科,2017,第二批,加入对比 ,1
西班牙语,南京大学金陵学院,--,339,江苏,理科,2017,第二批,加入对比 ,1
网络与新媒体,南京大学金陵学院,--,334,江苏,理科,2017,第二批,加入对比 ,1
土木工程,南京大学金陵学院,--,334,江苏,理科,2017,第二批,加入对比 ,1
日语,南京大学金陵学院,--,332,江苏,理科,2017,第二批,加入对比 ,1
金融学,南京大学金陵学院,--,338,江苏,理科,2017,第二批,加入对比 ,1
会计学,南京大学金陵学院,--,335,江苏,理科,2017,第二批,加入对比 ,1
环境科学与工程类,南京大学金陵学院,--,332,江苏,理科,2017,第二批,加入对比 ,1
法语,南京大学金陵学院,--,329,江苏,理科,2017,第二批,加入对比 ,1
地理信息科学,南京大学金陵学院,--,327,江苏,理科,2017,第二批,加入对比 ,1
德语,南京大学金陵学院,--,329,江苏,理科,2017,第二批,加入对比 ,2
城乡规划,南京大学金陵学院,--,338,江苏,理科,2017,第二批,加入对比 ,2
宝石及材料工艺学,南京大学金陵学院,--,329,江苏,理科,2017,第二批,加入对比 ,2
阿拉伯语,南京大学金陵学院,--,320,江苏,理科,2017,第二批,加入对比 ,2
英语,南京大学金陵学院,--,332,江苏,文科,2017,第二批,加入对比 ,2
新闻传播学类,南京大学金陵学院,--,333,江苏,文科,2017,第二批,加入对比 ,2
西班牙语,南京大学金陵学院,--,341,江苏,文科,2017,第二批,加入对比 ,2
网络与新媒体,南京大学金陵学院,--,337,江苏,文科,2017,第二批,加入对比 ,2
日语,南京大学金陵学院,--,328,江苏,文科,2017,第二批,加入对比 ,2
金融学,南京大学金陵学院,--,335,江苏,文科,2017,第二批,加入对比 ,2
会计学,南京大学金陵学院,--,339,江苏,文科,2017,第二批,加入对比 ,2
法语,南京大学金陵学院,--,334,江苏,文科,2017,第二批,加入对比 ,2
地理信息科学,南京大学金陵学院,--,333,江苏,文科,2017,第二批,加入对比 ,2
德语,南京大学金陵学院,--,329,江苏,文科,2017,第二批,加入对比 ,2
城乡规划,南京大学金陵学院,--,327,江苏,文科,2017,第二批,加入对比 ,2
宝石及材料工艺学,南京大学金陵学院,--,329,江苏,文科,2017,第二批,加入对比 ,2
阿拉伯语,南京大学金陵学院,--,328,江苏,文科,2017,第二批,加入对比 ,2
外国语言文学类,南京大学,--,604,福建,文科,2017,第一批,加入对比 ,2
软件工程,南京大学,--,624,福建,理科,2017,第一批,加入对比 ,2
地理信息科学,南京大学金陵学院,--,388,福建,理科,2017,第二批,加入对比 ,2
日语,南京大学金陵学院,--,390,福建,理科,2017,第二批,加入对比 ,2
环境科学与工程类,南京大学金陵学院,--,408,福建,理科,2017,第二批,加入对比 ,2
新闻传播学类,南京大学金陵学院,--,398,福建,理科,2017,第二批,加入对比 ,2
土木工程,南京大学金陵学院,--,407,福建,理科,2017,第二批,加入对比 ,2
城乡规划,南京大学金陵学院,--,403,福建,理科,2017,第二批,加入对比 ,2
金融学,南京大学金陵学院,--,425,福建,理科,2017,第二批,加入对比 ,2
城乡规划,南京大学金陵学院,--,443,福建,文科,2017,第二批,加入对比 ,2
英语,南京大学金陵学院,--,452,福建,文科,2017,第二批,加入对比 ,2
金融学,南京大学金陵学院,--,455,福建,文科,2017,第二批,加入对比 ,2
日语,南京大学金陵学院,--,461,福建,文科,2017,第二批,加入对比 ,2
新闻传播学类,南京大学金陵学院,--,464,福建,文科,2017,第二批,加入对比 ,2
