专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
俄语,南开大学,--,602,天津,文科,2017,第一批,加入对比 ,1
葡萄牙语,南开大学,--,603,天津,文科,2017,第一批,加入对比 ,1
日语,南开大学,--,603,天津,文科,2017,第一批,加入对比 ,1
意大利语,南开大学,--,607,天津,文科,2017,第一批,加入对比 ,1
哲学类,南开大学,--,608,天津,文科,2017,第一批,加入对比 ,1
文物与博物馆学,南开大学,--,607,天津,文科,2017,第一批,加入对比 ,1
德语,南开大学,--,607,天津,文科,2017,第一批,加入对比 ,1
社会学类,南开大学,--,611,天津,文科,2017,第一批,加入对比 ,1
西班牙语,南开大学,--,609,天津,文科,2017,第一批,加入对比 ,1
法语,南开大学,--,610,天津,文科,2017,第一批,加入对比 ,1
图书情报与档案管理类,南开大学,--,613,天津,文科,2017,第一批,加入对比 ,1
汉语国际教育,南开大学,--,611,天津,文科,2017,第一批,加入对比 ,1
政治学类,南开大学,--,621,天津,文科,2017,第一批,加入对比 ,1
历史学类,南开大学,--,615,天津,文科,2017,第一批,加入对比 ,1
广播电视学,南开大学,--,616,天津,文科,2017,第一批,加入对比 ,1
翻译,南开大学,--,617,天津,文科,2017,第一批,加入对比 ,1
法学,南开大学,--,622,天津,文科,2017,第一批,加入对比 ,1
城市管理,南开大学,--,628,天津,文科,2017,第一批,加入对比 ,1
英语,南开大学,--,634,天津,文科,2017,第一批,加入对比 ,1
汉语言文学,南开大学,--,631,天津,文科,2017,第一批,加入对比 ,1
保险学,南开大学,--,630,天津,文科,2017,第一批,加入对比 ,1
经济学类,南开大学,--,639,天津,文科,2017,第一批,加入对比 ,1
金融学类,南开大学,--,638,天津,文科,2017,第一批,加入对比 ,1
生物科学类,南开大学,--,657,天津,理科,2017,第一批,加入对比 ,1
软件工程,南开大学,--,649,天津,理科,2017,第一批,加入对比 ,1
城市管理,南开大学,--,650,天津,理科,2017,第一批,加入对比 ,2
环境科学与工程类,南开大学,--,651,天津,理科,2017,第一批,加入对比 ,2
化学类,南开大学,--,670,天津,理科,2017,第一批,加入对比 ,2
法学,南开大学,--,651,天津,理科,2017,第一批,加入对比 ,2
管理科学与工程类,南开大学,--,654,天津,理科,2017,第一批,加入对比 ,2
物理学类,南开大学,--,673,天津,理科,2017,第一批,加入对比 ,2
信息安全,南开大学,--,655,天津,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,南开大学,--,657,天津,理科,2017,第一批,加入对比 ,2
会计学,南开大学,--,666,天津,理科,2017,第一批,加入对比 ,2
保险学,南开大学,--,662,天津,理科,2017,第一批,加入对比 ,2
数学类,南开大学,--,669,天津,理科,2017,第一批,加入对比 ,2
经济学类,南开大学,--,662,天津,理科,2017,第一批,加入对比 ,2
金融学类,南开大学,--,672,天津,理科,2017,第一批,加入对比 ,2
文物与博物馆学,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
德语,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
哲学类,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
政治学类,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
历史学类,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
俄语,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
汉语国际教育,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
广播电视学,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
社会学类,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
日语,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
城市管理,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
汉语言文学,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
保险学,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
法学,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
法学,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
环境科学与工程类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
管理科学与工程类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
软件工程,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物科学类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
会计学,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
信息安全,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
物理学类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
化学类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
数学类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
经济学类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
金融学类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
信息管理与信息系统,南开大学滨海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,2
环境科学,南开大学滨海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,2
计算机科学与技术,南开大学滨海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,2
通信工程,南开大学滨海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,2
工商管理,南开大学滨海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,2
金融工程,南开大学滨海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,2
广告学,南开大学滨海学院,--,--,辽宁,文科,2017,第二批,加入对比 ,2
日语,南开大学滨海学院,--,--,辽宁,文科,2017,第二批,加入对比 ,2
信息管理与信息系统,南开大学滨海学院,--,--,辽宁,文科,2017,第二批,加入对比 ,2
哲学类,南开大学,--,599,吉林,文科,2017,第一批,加入对比 ,2
保险学,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
法学,南开大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
法学,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
环境科学与工程类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
管理科学与工程类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
软件工程,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
生物科学类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
会计学,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
信息安全,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
物理学类,南开大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
