专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
会计学,厦门大学,--,623,北京,文科,2017,第一批,加入对比 ,1
法语,厦门大学,--,624,北京,文科,2017,第一批,加入对比 ,1
政治学类,厦门大学,--,625,北京,文科,2017,第一批,加入对比 ,1
英语,厦门大学,--,626,北京,文科,2017,第一批,加入对比 ,1
法学类,厦门大学,--,626,北京,文科,2017,第一批,加入对比 ,1
日语,厦门大学,--,627,北京,文科,2017,第一批,加入对比 ,1
经济学类,厦门大学,--,629,北京,文科,2017,第一批,加入对比 ,1
新闻传播学类,厦门大学,--,631,北京,文科,2017,第一批,加入对比 ,1
环境科学与工程类,厦门大学,--,637,北京,理科,2017,第一批,加入对比 ,1
化学工程与工艺,厦门大学,--,632,北京,理科,2017,第一批,加入对比 ,1
海洋科学类,厦门大学,--,634,北京,理科,2017,第一批,加入对比 ,1
软件工程,厦门大学,--,635,北京,理科,2017,第一批,加入对比 ,1
日语,厦门大学,--,638,北京,理科,2017,第一批,加入对比 ,1
生物科学类,厦门大学,--,638,北京,理科,2017,第一批,加入对比 ,1
法学类,厦门大学,--,637,北京,理科,2017,第一批,加入对比 ,1
新闻传播学类,厦门大学,--,638,北京,理科,2017,第一批,加入对比 ,1
化学类,厦门大学,--,640,北京,理科,2017,第一批,加入对比 ,1
会计学,厦门大学,--,647,北京,理科,2017,第一批,加入对比 ,1
物理学类,厦门大学,--,647,北京,理科,2017,第一批,加入对比 ,1
数学类,厦门大学,--,646,北京,理科,2017,第一批,加入对比 ,1
经济学类,厦门大学,--,657,北京,理科,2017,第一批,加入对比 ,1
广告学,厦门大学嘉庚学院,--,474,北京,理科,2017,第二批,加入对比 ,1
广告学,厦门大学嘉庚学院,--,492,北京,文科,2017,第二批,加入对比 ,1
新闻学,厦门大学嘉庚学院,--,499,北京,文科,2017,第二批,加入对比 ,1
财政学,厦门大学嘉庚学院,--,512,北京,理科,2017,第二批,加入对比 ,1
日语,厦门大学,--,605,天津,文科,2017,第一批,加入对比 ,2
法语,厦门大学,--,606,天津,文科,2017,第一批,加入对比 ,2
政治学类,厦门大学,--,607,天津,文科,2017,第一批,加入对比 ,2
经济学类,厦门大学,--,622,天津,文科,2017,第一批,加入对比 ,2
法学类,厦门大学,--,613,天津,文科,2017,第一批,加入对比 ,2
新闻传播学类,厦门大学,--,614,天津,文科,2017,第一批,加入对比 ,2
土木类,厦门大学,--,619,天津,理科,2017,第一批,加入对比 ,2
海洋科学类,厦门大学,--,622,天津,理科,2017,第一批,加入对比 ,2
软件工程,厦门大学,--,623,天津,理科,2017,第一批,加入对比 ,2
法学类,厦门大学,--,624,天津,理科,2017,第一批,加入对比 ,2
