专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
外交学,吉林大学,--,607,北京,文科,2017,第一批,加入对比 ,1
金融学,吉林大学,--,607,北京,文科,2017,第一批,加入对比 ,1
资源勘查工程,吉林大学,--,611,北京,理科,2017,第一批,加入对比 ,1
考古学,吉林大学,--,612,北京,文科,2017,第一批,加入对比 ,1
勘查技术与工程,吉林大学,--,612,北京,理科,2017,第一批,加入对比 ,1
法学,吉林大学,--,613,北京,文科,2017,第一批,加入对比 ,1
汽车服务工程,吉林大学,--,613,北京,理科,2017,第一批,加入对比 ,1
土木工程,吉林大学,--,614,北京,理科,2017,第一批,加入对比 ,1
食品质量与安全,吉林大学,--,614,北京,理科,2017,第一批,加入对比 ,1
软件工程,吉林大学,--,617,北京,理科,2017,第一批,加入对比 ,1
信息管理与信息系统,吉林大学,--,618,北京,理科,2017,第一批,加入对比 ,1
生物制药,吉林大学,--,619,北京,理科,2017,第一批,加入对比 ,1
材料科学与工程,吉林大学,--,619,北京,理科,2017,第一批,加入对比 ,1
经济学,吉林大学,--,620,北京,理科,2017,第一批,加入对比 ,1
通信工程,吉林大学,--,621,北京,理科,2017,第一批,加入对比 ,1
机械工程,吉林大学,--,621,北京,理科,2017,第一批,加入对比 ,1
高分子材料与工程,吉林大学,--,621,北京,理科,2017,第一批,加入对比 ,1
电子科学与技术,吉林大学,--,621,北京,理科,2017,第一批,加入对比 ,1
金融学,吉林大学,--,623,北京,理科,2017,第一批,加入对比 ,1
会计学,吉林大学,--,623,北京,理科,2017,第一批,加入对比 ,1
车辆工程,吉林大学,--,623,北京,理科,2017,第一批,加入对比 ,1
计算机科学与技术,吉林大学,--,624,北京,理科,2017,第一批,加入对比 ,1
物理学,吉林大学,--,625,北京,理科,2017,第一批,加入对比 ,1
数学与应用数学,吉林大学,--,626,北京,理科,2017,第一批,加入对比 ,1
化学,吉林大学,--,630,北京,理科,2017,第一批,加入对比 ,1
朝鲜语,吉林大学,--,603,北京,文科,2017,第一批,加入对比 ,2
工业工程,吉林大学,--,602,天津,理科,2017,第一批,加入对比 ,2
物流工程,吉林大学,--,602,天津,理科,2017,第一批,加入对比 ,2
环境科学与工程类,吉林大学,--,602,天津,理科,2017,第一批,加入对比 ,2
汽车服务工程,吉林大学,--,603,天津,理科,2017,第一批,加入对比 ,2
统计学,吉林大学,--,604,天津,理科,2017,第一批,加入对比 ,2
工商管理,吉林大学,--,605,天津,理科,2017,第一批,加入对比 ,2
生物制药,吉林大学,--,607,天津,理科,2017,第一批,加入对比 ,2
土木工程,吉林大学,--,609,天津,理科,2017,第一批,加入对比 ,2
自动化,吉林大学,--,609,天津,理科,2017,第一批,加入对比 ,2
物理学,吉林大学,--,609,天津,理科,2017,第一批,加入对比 ,2
经济学,吉林大学,--,609,天津,理科,2017,第一批,加入对比 ,2
食品质量与安全,吉林大学,--,610,天津,理科,2017,第一批,加入对比 ,2
材料科学与工程,吉林大学,--,610,天津,理科,2017,第一批,加入对比 ,2
信息工程,吉林大学,--,611,天津,理科,2017,第一批,加入对比 ,2
财政学,吉林大学,--,611,天津,理科,2017,第一批,加入对比 ,2
通信工程,吉林大学,--,612,天津,理科,2017,第一批,加入对比 ,2
软件工程,吉林大学,--,613,天津,理科,2017,第一批,加入对比 ,2
信息管理与信息系统,吉林大学,--,614,天津,理科,2017,第一批,加入对比 ,2
计算机科学与技术,吉林大学,--,614,天津,理科,2017,第一批,加入对比 ,2
会计学,吉林大学,--,616,天津,理科,2017,第一批,加入对比 ,2
化学,吉林大学,--,616,天津,理科,2017,第一批,加入对比 ,2
金融学,吉林大学,--,616,天津,理科,2017,第一批,加入对比 ,2
法学,吉林大学,--,620,天津,理科,2017,第一批,加入对比 ,2
车辆工程,吉林大学,--,625,天津,理科,2017,第一批,加入对比 ,2
预防医学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
地质工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
地理科学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
农林经济管理,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
文物与博物馆学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
环境科学与工程类,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
测绘工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
日语,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
土木工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
日语,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
临床药学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
高分子材料与工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
应用物理学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
新闻学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
西班牙语,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
考古学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
英语,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
工商管理,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
法学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
金融学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
财政学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
化学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
会计学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
金融学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
法学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
预防医学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
地质工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
地理科学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
农林经济管理,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
文物与博物馆学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
环境科学与工程类,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
测绘工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
日语,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
土木工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
日语,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
临床药学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
高分子材料与工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
应用物理学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
新闻学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
西班牙语,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
考古学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
英语,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
工商管理,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
法学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
金融学,吉林大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
财政学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
化学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
会计学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
金融学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
法学,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
车辆工程,吉林大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
机械设计制造及其自动化,吉林大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,3
微电子科学与工程,吉林大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,3
食品质量与安全,吉林大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,3
通信工程,吉林大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,3
软件工程,吉林大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,3
计算机科学与技术,吉林大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,3
会计学,吉林大学珠海学院,--,--,辽宁,理科,2017,第二批,加入对比 ,3
广告学,吉林大学珠海学院,--,--,辽宁,文科,2017,第二批,加入对比 ,3
日语,吉林大学珠海学院,--,--,辽宁,文科,2017,第二批,加入对比 ,3
资源勘查工程,吉林大学,--,604,吉林,理科,2017,第一批,加入对比 ,3
勘查技术与工程,吉林大学,--,571,吉林,理科,2017,第一批,加入对比 ,3
地质工程,吉林大学,--,587,吉林,理科,2017,第一批,加入对比 ,3
