专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
机械类,同济大学,--,649,北京,理科,2017,第一批,加入对比 ,1
城乡规划,同济大学,--,648,北京,理科,2017,第一批,加入对比 ,1
软件工程,同济大学,--,648,北京,理科,2017,第一批,加入对比 ,1
材料科学与工程,同济大学,--,649,北京,理科,2017,第一批,加入对比 ,1
风景园林,同济大学,--,650,北京,理科,2017,第一批,加入对比 ,1
土木工程,同济大学,--,666,北京,理科,2017,第一批,加入对比 ,1
车辆工程,同济大学,--,655,北京,理科,2017,第一批,加入对比 ,1
建筑学,同济大学,--,669,北京,理科,2017,第一批,加入对比 ,1
英语,同济大学,--,612,天津,文科,2017,第一批,加入对比 ,1
日语,同济大学,--,614,天津,文科,2017,第一批,加入对比 ,1
新闻传播学类,同济大学,--,616,天津,文科,2017,第一批,加入对比 ,1
德语,同济大学,--,617,天津,文科,2017,第一批,加入对比 ,1
建筑学,同济大学,--,625,天津,文科,2017,第一批,加入对比 ,1
测绘工程,同济大学,--,654,天津,理科,2017,第一批,加入对比 ,1
机械类,同济大学,--,657,天津,理科,2017,第一批,加入对比 ,1
飞行器制造工程,同济大学,--,655,天津,理科,2017,第一批,加入对比 ,1
软件工程,同济大学,--,659,天津,理科,2017,第一批,加入对比 ,1
材料科学与工程,同济大学,--,658,天津,理科,2017,第一批,加入对比 ,1
车辆工程,同济大学,--,660,天津,理科,2017,第一批,加入对比 ,1
土木工程,同济大学,--,659,天津,理科,2017,第一批,加入对比 ,1
风景园林,同济大学,--,665,天津,理科,2017,第一批,加入对比 ,1
建筑学,同济大学,--,669,天津,理科,2017,第一批,加入对比 ,1
城乡规划,同济大学,--,670,天津,理科,2017,第一批,加入对比 ,1
政治学与行政学,同济大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
法学,同济大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
日语,同济大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
新闻传播学类,同济大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
英语,同济大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
历史建筑保护工程,同济大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
工程力学,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物科学类,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
飞行器制造工程,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
测绘工程,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
机械类,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
软件工程,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
车辆工程,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
风景园林,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
城乡规划,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
材料科学与工程,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
土木工程,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
建筑学,同济大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
德语,同济大学,--,605,吉林,文科,2017,第一批,加入对比 ,2
机械类,同济大学,--,659,吉林,理科,2017,第一批,加入对比 ,2
飞行器制造工程,同济大学,--,650,吉林,理科,2017,第一批,加入对比 ,2
软件工程,同济大学,--,654,吉林,理科,2017,第一批,加入对比 ,2
生物科学类,同济大学,--,656,吉林,理科,2017,第一批,加入对比 ,2
材料科学与工程,同济大学,--,656,吉林,理科,2017,第一批,加入对比 ,2
测绘工程,同济大学,--,659,吉林,理科,2017,第一批,加入对比 ,2
工程力学,同济大学,--,659,吉林,理科,2017,第一批,加入对比 ,2
土木工程,同济大学,--,671,吉林,理科,2017,第一批,加入对比 ,2
车辆工程,同济大学,--,666,吉林,理科,2017,第一批,加入对比 ,2
风景园林,同济大学,--,664,吉林,理科,2017,第一批,加入对比 ,2
城乡规划,同济大学,--,671,吉林,理科,2017,第一批,加入对比 ,2
城乡规划,同济大学,--,659,黑龙江,理科,2017,第一批,加入对比 ,2
建筑学,同济大学,--,653,黑龙江,理科,2017,第一批,加入对比 ,2
测绘工程,同济大学,--,645,黑龙江,理科,2017,第一批,加入对比 ,2
土木工程,同济大学,--,657,黑龙江,理科,2017,第一批,加入对比 ,2
