专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
经济学类,哈尔滨工业大学,--,609,北京,文科,2017,第一批,加入对比 ,1
设计学类,哈尔滨工业大学,--,615,北京,文科,2017,第一批,加入对比 ,1
环境科学与工程类,哈尔滨工业大学,--,632,北京,理科,2017,第一批,加入对比 ,1
土木类,哈尔滨工业大学,--,633,北京,理科,2017,第一批,加入对比 ,1
能源动力类,哈尔滨工业大学,--,633,北京,理科,2017,第一批,加入对比 ,1
材料科学与工程,哈尔滨工业大学,--,638,北京,理科,2017,第一批,加入对比 ,1
机械类,哈尔滨工业大学,--,637,北京,理科,2017,第一批,加入对比 ,1
数学类,哈尔滨工业大学,--,636,北京,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,哈尔滨工业大学,--,645,北京,理科,2017,第一批,加入对比 ,1
飞行器设计与工程,哈尔滨工业大学,--,651,北京,理科,2017,第一批,加入对比 ,1
社会学类,哈尔滨工业大学,--,585,天津,文科,2017,第一批,加入对比 ,1
设计学类,哈尔滨工业大学,--,586,天津,文科,2017,第一批,加入对比 ,1
英语,哈尔滨工业大学,--,591,天津,文科,2017,第一批,加入对比 ,1
经济学类,哈尔滨工业大学,--,589,天津,文科,2017,第一批,加入对比 ,1
给排水科学与工程,哈尔滨工业大学,--,623,天津,理科,2017,第一批,加入对比 ,1
材料成型及控制工程,哈尔滨工业大学,--,624,天津,理科,2017,第一批,加入对比 ,1
城乡规划,哈尔滨工业大学,--,628,天津,理科,2017,第一批,加入对比 ,1
光电信息科学与工程,哈尔滨工业大学,--,627,天津,理科,2017,第一批,加入对比 ,1
仪器类,哈尔滨工业大学,--,627,天津,理科,2017,第一批,加入对比 ,1
焊接技术与工程,哈尔滨工业大学,--,629,天津,理科,2017,第一批,加入对比 ,1
材料科学与工程,哈尔滨工业大学,--,630,天津,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,哈尔滨工业大学,--,633,天津,理科,2017,第一批,加入对比 ,1
能源动力类,哈尔滨工业大学,--,633,天津,理科,2017,第一批,加入对比 ,1
建筑学,哈尔滨工业大学,--,647,天津,理科,2017,第一批,加入对比 ,1
机械类,哈尔滨工业大学,--,642,天津,理科,2017,第一批,加入对比 ,1
飞行器设计与工程,哈尔滨工业大学,--,654,天津,理科,2017,第一批,加入对比 ,2
英语,哈尔滨工业大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
法学,哈尔滨工业大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
设计学类,哈尔滨工业大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
城乡规划,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
环境工程,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
环境科学与工程类,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
能源化学工程,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
材料成型及控制工程,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
材料科学与工程,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
给排水科学与工程,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
化学类,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
能源动力类,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
经济学,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
土木类,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
建筑学,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
机械类,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
自动化,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
飞行器设计与工程,哈尔滨工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
法学,哈尔滨工业大学,--,574,吉林,文科,2017,第一批,加入对比 ,2
经济学类,哈尔滨工业大学,--,579,吉林,文科,2017,第一批,加入对比 ,2
设计学类,哈尔滨工业大学,--,580,吉林,文科,2017,第一批,加入对比 ,2
日语,哈尔滨工业大学,--,589,吉林,理科,2017,提前批,加入对比 ,2
能源化学工程,哈尔滨工业大学,--,620,吉林,理科,2017,第一批,加入对比 ,2
环境科学与工程类,哈尔滨工业大学,--,622,吉林,理科,2017,第一批,加入对比 ,2
土木类,哈尔滨工业大学,--,625,吉林,理科,2017,第一批,加入对比 ,2
设计学类,哈尔滨工业大学,--,622,吉林,理科,2017,第一批,加入对比 ,2
环境工程,哈尔滨工业大学,--,624,吉林,理科,2017,第一批,加入对比 ,2
城乡规划,哈尔滨工业大学,--,628,吉林,理科,2017,第一批,加入对比 ,2
材料成型及控制工程,哈尔滨工业大学,--,630,吉林,理科,2017,第一批,加入对比 ,2
数学类,哈尔滨工业大学,--,629,吉林,理科,2017,第一批,加入对比 ,2
经济学,哈尔滨工业大学,--,630,吉林,理科,2017,第一批,加入对比 ,2
能源动力类,哈尔滨工业大学,--,633,吉林,理科,2017,第一批,加入对比 ,2
光电信息科学与工程,哈尔滨工业大学,--,627,吉林,理科,2017,第一批,加入对比 ,2
材料科学与工程,哈尔滨工业大学,--,646,吉林,理科,2017,第一批,加入对比 ,2
机械类,哈尔滨工业大学,--,650,吉林,理科,2017,第一批,加入对比 ,2
焊接技术与工程,哈尔滨工业大学,--,651,吉林,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,哈尔滨工业大学,--,653,吉林,理科,2017,第一批,加入对比 ,2
建筑学,哈尔滨工业大学,--,636,吉林,理科,2017,第一批,加入对比 ,2
软件工程,哈尔滨工业大学,--,636,吉林,理科,2017,第一批,加入对比 ,2
飞行器设计与工程,哈尔滨工业大学,--,659,吉林,理科,2017,第一批,加入对比 ,2
设计学类,哈尔滨工业大学,--,617,黑龙江,理科,2017,第一批,加入对比 ,2
建筑学,哈尔滨工业大学,--,653,黑龙江,理科,2017,第一批,加入对比 ,2
环境工程,哈尔滨工业大学,--,620,黑龙江,理科,2017,第一批,加入对比 ,2
环境科学与工程类,哈尔滨工业大学,--,625,黑龙江,理科,2017,第一批,加入对比 ,2
飞行器设计与工程,哈尔滨工业大学,--,653,黑龙江,理科,2017,第一批,加入对比 ,2
交通运输类,哈尔滨工业大学,--,614,黑龙江,理科,2017,第一批,加入对比 ,2
能源化学工程,哈尔滨工业大学,--,624,黑龙江,理科,2017,第一批,加入对比 ,2
给排水科学与工程,哈尔滨工业大学,--,628,黑龙江,理科,2017,第一批,加入对比 ,2
环境科学与工程类,哈尔滨工业大学,--,622,吉林,理科,2017,第一批,加入对比 ,3
