专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
国际政治,四川大学,--,618,北京,文科,2017,第一批,加入对比 ,1
英语,四川大学,--,620,北京,文科,2017,第一批,加入对比 ,1
新闻传播学类,四川大学,--,621,北京,文科,2017,第一批,加入对比 ,1
法语,四川大学,--,622,北京,文科,2017,第一批,加入对比 ,1
经济学类,四川大学,--,628,北京,文科,2017,第一批,加入对比 ,1
汉语言文学,四川大学,--,623,北京,文科,2017,第一批,加入对比 ,1
建筑类,四川大学,--,623,北京,理科,2017,第一批,加入对比 ,1
西班牙语,四川大学,--,624,北京,理科,2017,第一批,加入对比 ,1
环境科学与工程类,四川大学,--,624,北京,理科,2017,第一批,加入对比 ,1
化学类,四川大学,--,624,北京,理科,2017,第一批,加入对比 ,1
法医学,四川大学,--,625,北京,理科,2017,第一批,加入对比 ,1
新能源材料与器件,四川大学,--,624,北京,理科,2017,第一批,加入对比 ,1
测控技术与仪器,四川大学,--,623,北京,理科,2017,第一批,加入对比 ,1
卫生检验与检疫,四川大学,--,625,北京,理科,2017,第一批,加入对比 ,1
新闻传播学类,四川大学,--,626,北京,理科,2017,第一批,加入对比 ,1
管理科学,四川大学,--,626,北京,理科,2017,第一批,加入对比 ,1
基础医学,四川大学,--,626,北京,理科,2017,第一批,加入对比 ,1
信息管理与信息系统,四川大学,--,628,北京,理科,2017,第一批,加入对比 ,1
经济学类,四川大学,--,629,北京,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,四川大学,--,626,北京,理科,2017,第一批,加入对比 ,1
核工程与核技术,四川大学,--,628,北京,理科,2017,第一批,加入对比 ,1
法学,四川大学,--,628,北京,理科,2017,第一批,加入对比 ,1
自动化,四川大学,--,629,北京,理科,2017,第一批,加入对比 ,1
软件工程,四川大学,--,629,北京,理科,2017,第一批,加入对比 ,1
航空航天类,四川大学,--,632,北京,理科,2017,第一批,加入对比 ,1
通信工程,四川大学,--,631,北京,理科,2017,第一批,加入对比 ,2
土木类,四川大学,--,632,北京,理科,2017,第一批,加入对比 ,2
食品科学与工程,四川大学,--,632,北京,理科,2017,第一批,加入对比 ,2
高分子材料与工程,四川大学,--,638,北京,理科,2017,第一批,加入对比 ,2
物理学类,四川大学,--,636,北京,理科,2017,第一批,加入对比 ,2
金融学类,四川大学,--,635,北京,理科,2017,第一批,加入对比 ,2
数学类,四川大学,--,637,北京,理科,2017,第一批,加入对比 ,2
