专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
数学类,复旦大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
中国语言文学类,复旦大学,--,640,吉林,文科,2017,第一批,加入对比 ,1
新闻传播学类,复旦大学,--,642,吉林,文科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,651,吉林,文科,2017,第一批,加入对比 ,1
数学类,复旦大学,--,684,吉林,理科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,685,吉林,理科,2017,第一批,加入对比 ,1
数学类,复旦大学,--,673,黑龙江,理科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,671,黑龙江,理科,2017,第一批,加入对比 ,1
新闻传播学类,复旦大学,--,631,黑龙江,文科,2017,第一批,加入对比 ,1
中国语言文学类,复旦大学,--,628,黑龙江,文科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,632,黑龙江,文科,2017,第一批,加入对比 ,1
数学类,复旦大学,--,413,江苏,理科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,412,江苏,理科,2017,第一批,加入对比 ,1
中国语言文学类,复旦大学,--,408,江苏,文科,2017,第一批,加入对比 ,1
英语,复旦大学,--,400,江苏,文科,2017,第一批,加入对比 ,1
新闻传播学类,复旦大学,--,402,江苏,文科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,409,江苏,文科,2017,第一批,加入对比 ,1
法学,复旦大学,--,399,江苏,文科,2017,第一批,加入对比 ,1
新闻传播学类,复旦大学,--,619,福建,文科,2017,第一批,加入对比 ,1
法学,复旦大学,--,617,福建,文科,2017,第一批,加入对比 ,1
中国语言文学类,复旦大学,--,622,福建,文科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,626,福建,文科,2017,第一批,加入对比 ,1
数学类,复旦大学,--,647,福建,理科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,648,福建,理科,2017,第一批,加入对比 ,1
经济学类,复旦大学,--,640,重庆,文科,2017,第一批,加入对比 ,2
历史学类,复旦大学,--,639,重庆,文科,2017,第一批,加入对比 ,2
中国语言文学类,复旦大学,--,640,重庆,文科,2017,第一批,加入对比 ,2
法学,复旦大学,--,643,重庆,文科,2017,第一批,加入对比 ,2
新闻传播学类,复旦大学,--,645,重庆,文科,2017,第一批,加入对比 ,2
微电子科学与工程,复旦大学,--,668,重庆,理科,2017,第一批,加入对比 ,2
航空航天类,复旦大学,--,674,重庆,理科,2017,第一批,加入对比 ,2
数学类,复旦大学,--,685,重庆,理科,2017,第一批,加入对比 ,2
经济学类,复旦大学,--,685,重庆,理科,2017,第一批,加入对比 ,2
哲学类,复旦大学,--,612,四川,文科,2017,第一批,加入对比 ,2
历史学类,复旦大学,--,629,四川,文科,2017,第一批,加入对比 ,2
西班牙语,复旦大学,--,638,四川,文科,2017,提前批,加入对比 ,2
新闻传播学类,复旦大学,--,642,四川,文科,2017,第一批,加入对比 ,2
核工程与核技术,复旦大学,--,656,四川,理科,2017,第一批,加入对比 ,2
软件工程,复旦大学,--,656,四川,理科,2017,第一批,加入对比 ,2
经济学类,复旦大学,--,664,四川,文科,2017,第一批,加入对比 ,2
航空航天类,复旦大学,--,661,四川,理科,2017,第一批,加入对比 ,2
微电子科学与工程,复旦大学,--,670,四川,理科,2017,第一批,加入对比 ,2
航空航天类,复旦大学,--,676,四川,理科,2017,提前批,加入对比 ,2
数学类,复旦大学,--,683,四川,理科,2017,第一批,加入对比 ,2
微电子科学与工程,复旦大学,--,684,四川,理科,2017,提前批,加入对比 ,2
经济学类,复旦大学,--,692,四川,理科,2017,第一批,加入对比 ,2
历史学类,复旦大学,--,661,陕西,文科,2017,第一批,加入对比 ,2
新闻传播学类,复旦大学,--,664,陕西,文科,2017,第一批,加入对比 ,2
