专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
自动化,大连理工大学城市学院,--,462,北京,理科,2017,第二批,加入对比 ,1
信息管理与信息系统,大连理工大学城市学院,--,473,北京,文科,2017,第二批,加入对比 ,1
软件工程,大连理工大学城市学院,--,478,北京,理科,2017,第二批,加入对比 ,1
化学工程与工艺,大连理工大学,--,614,天津,理科,2017,第一批,加入对比 ,1
环境科学与工程类,大连理工大学,--,612,天津,理科,2017,第一批,加入对比 ,1
机械设计制造及其自动化,大连理工大学,--,613,天津,理科,2017,第一批,加入对比 ,1
水利类,大连理工大学,--,616,天津,理科,2017,第一批,加入对比 ,1
车辆工程,大连理工大学,--,613,天津,理科,2017,第一批,加入对比 ,1
城乡规划,大连理工大学,--,618,天津,理科,2017,第一批,加入对比 ,1
能源动力类,大连理工大学,--,615,天津,理科,2017,第一批,加入对比 ,1
建筑环境与能源应用工程,大连理工大学,--,614,天津,理科,2017,第一批,加入对比 ,1
金融学类,大连理工大学,--,617,天津,理科,2017,第一批,加入对比 ,1
数学类,大连理工大学,--,622,天津,理科,2017,第一批,加入对比 ,1
信息管理与信息系统,大连理工大学,--,617,天津,理科,2017,第一批,加入对比 ,1
软件工程,大连理工大学,--,623,天津,理科,2017,第一批,加入对比 ,1
电子科学与技术,大连理工大学,--,617,天津,理科,2017,第一批,加入对比 ,1
集成电路设计与集成系统,大连理工大学,--,621,天津,理科,2017,第一批,加入对比 ,1
土木工程,大连理工大学,--,623,天津,理科,2017,第一批,加入对比 ,1
工程力学,大连理工大学,--,622,天津,理科,2017,第一批,加入对比 ,1
建筑学,大连理工大学,--,619,天津,理科,2017,第一批,加入对比 ,1
电子信息工程,大连理工大学,--,624,天津,理科,2017,第一批,加入对比 ,1
自动化,大连理工大学,--,623,天津,理科,2017,第一批,加入对比 ,1
应用化学,大连理工大学,--,621,天津,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,大连理工大学,--,627,天津,理科,2017,第一批,加入对比 ,1
机械类,大连理工大学,--,630,天津,理科,2017,第一批,加入对比 ,1
计算机科学与技术,大连理工大学,--,629,天津,理科,2017,第一批,加入对比 ,2
网络工程,大连理工大学城市学院,--,415,天津,理科,2017,第二批,加入对比 ,2
日语,大连理工大学城市学院,--,415,天津,理科,2017,第二批,加入对比 ,2
信息管理与信息系统,大连理工大学城市学院,--,417,天津,理科,2017,第二批,加入对比 ,2
测绘工程,大连理工大学城市学院,--,417,天津,理科,2017,第二批,加入对比 ,2
工程管理,大连理工大学城市学院,--,418,天津,理科,2017,第二批,加入对比 ,2
建筑学,大连理工大学城市学院,--,418,天津,理科,2017,第二批,加入对比 ,2
计算机科学与技术,大连理工大学城市学院,--,418,天津,理科,2017,第二批,加入对比 ,2
电子信息工程,大连理工大学城市学院,--,422,天津,理科,2017,第二批,加入对比 ,2
通信工程,大连理工大学城市学院,--,423,天津,理科,2017,第二批,加入对比 ,2
电气工程及其自动化,大连理工大学城市学院,--,423,天津,理科,2017,第二批,加入对比 ,2
工商管理,大连理工大学城市学院,--,425,天津,理科,2017,第二批,加入对比 ,2
软件工程,大连理工大学城市学院,--,425,天津,理科,2017,第二批,加入对比 ,2
英语,大连理工大学城市学院,--,425,天津,理科,2017,第二批,加入对比 ,2
自动化,大连理工大学城市学院,--,426,天津,理科,2017,第二批,加入对比 ,2
风景园林,大连理工大学城市学院,--,427,天津,理科,2017,第二批,加入对比 ,2
土木工程,大连理工大学城市学院,--,444,天津,理科,2017,第二批,加入对比 ,2
公共事业管理,大连理工大学城市学院,--,421,天津,文科,2017,第二批,加入对比 ,2
金属材料工程,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
建筑环境与能源应用工程,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物医学工程,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
新闻传播学类,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
环境科学与工程类,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物工程,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
城乡规划,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
化学工程与工艺,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
集成电路设计与集成系统,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
交通工程,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
软件工程,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
船舶与海洋工程,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
物理学类,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
能源动力类,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
电子科学与技术,大连理工大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
