专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
土木类,山东大学,--,625,北京,理科,2017,第一批,加入对比 ,1
化学类,山东大学,--,629,北京,理科,2017,第一批,加入对比 ,1
生物科学类,山东大学,--,627,北京,理科,2017,第一批,加入对比 ,1
软件工程,山东大学,--,630,北京,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,山东大学,--,629,北京,理科,2017,第一批,加入对比 ,1
微电子科学与工程,山东大学,--,636,北京,理科,2017,第一批,加入对比 ,1
经济学类,山东大学,--,636,北京,理科,2017,第一批,加入对比 ,1
物理学类,山东大学,--,640,北京,理科,2017,第一批,加入对比 ,1
数学类,山东大学,--,643,北京,理科,2017,第一批,加入对比 ,1
会计学,山东大学威海分校,--,608,北京,文科,2017,第一批,加入对比 ,1
金融学,山东大学威海分校,--,617,北京,理科,2017,第一批,加入对比 ,1
新闻传播学类,山东大学,--,596,天津,文科,2017,第一批,加入对比 ,1
社会学类,山东大学,--,596,天津,文科,2017,第一批,加入对比 ,1
英语,山东大学,--,598,天津,文科,2017,第一批,加入对比 ,1
中国语言文学类,山东大学,--,598,天津,文科,2017,第一批,加入对比 ,1
历史学类,山东大学,--,599,天津,文科,2017,第一批,加入对比 ,1
法学类,山东大学,--,599,天津,文科,2017,第一批,加入对比 ,1
经济学类,山东大学,--,603,天津,文科,2017,第一批,加入对比 ,1
机械类,山东大学,--,613,天津,理科,2017,第一批,加入对比 ,1
能源动力类,山东大学,--,614,天津,理科,2017,第一批,加入对比 ,1
生物科学类,山东大学,--,614,天津,理科,2017,第一批,加入对比 ,1
化学类,山东大学,--,617,天津,理科,2017,第一批,加入对比 ,1
软件工程,山东大学,--,618,天津,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,山东大学,--,618,天津,理科,2017,第一批,加入对比 ,1
物理学类,山东大学,--,624,天津,理科,2017,第一批,加入对比 ,1
数学类,山东大学,--,636,天津,理科,2017,第一批,加入对比 ,2
经济学类,山东大学,--,634,天津,理科,2017,第一批,加入对比 ,2
朝鲜语,山东大学威海分校,--,581,天津,文科,2017,第一批,加入对比 ,2
金融学,山东大学威海分校,--,583,天津,文科,2017,第一批,加入对比 ,2
会计学,山东大学威海分校,--,591,天津,文科,2017,第一批,加入对比 ,2
汉语言文学,山东大学威海分校,--,592,天津,文科,2017,第一批,加入对比 ,2
英语,山东大学威海分校,--,594,天津,理科,2017,第一批,加入对比 ,2
生物科学类,山东大学威海分校,--,597,天津,理科,2017,第一批,加入对比 ,2
法学,山东大学威海分校,--,597,天津,理科,2017,第一批,加入对比 ,2
材料成型及控制工程,山东大学威海分校,--,596,天津,理科,2017,第一批,加入对比 ,2
海洋资源开发技术,山东大学威海分校,--,600,天津,理科,2017,第一批,加入对比 ,2
数学与应用数学,山东大学威海分校,--,598,天津,理科,2017,第一批,加入对比 ,2
应用物理学,山东大学威海分校,--,602,天津,理科,2017,第一批,加入对比 ,2
日语,山东大学威海分校,--,608,天津,理科,2017,第一批,加入对比 ,2
计算机科学与技术,山东大学威海分校,--,605,天津,理科,2017,第一批,加入对比 ,2
会计学,山东大学威海分校,--,610,天津,理科,2017,第一批,加入对比 ,2
金融学,山东大学威海分校,--,610,天津,理科,2017,第一批,加入对比 ,2
社会学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
日语,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
俄语,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
哲学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
政治学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
汉语国际教育,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
德语,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
英语,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
新闻传播学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
法学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
经济学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
中国语言文学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
集成电路设计与集成系统,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
微电子科学与工程,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
机械类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
软件工程,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
环境科学与工程类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
土木类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物科学类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
化学类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
能源动力类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
数学类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
物理学类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
经济学类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
测控技术与仪器,山东大学威海分校,--,--,辽宁,理科,2017,第一批,加入对比 ,2
日语,山东大学威海分校,--,--,辽宁,文科,2017,第一批,加入对比 ,2
汉语国际教育,山东大学威海分校,--,--,辽宁,文科,2017,第一批,加入对比 ,2
朝鲜语,山东大学威海分校,--,--,辽宁,文科,2017,第一批,加入对比 ,2
金融学类,山东大学威海分校,--,--,辽宁,文科,2017,第一批,加入对比 ,2
英语,山东大学威海分校,--,--,辽宁,文科,2017,第一批,加入对比 ,2
汉语言文学,山东大学威海分校,--,--,辽宁,文科,2017,第一批,加入对比 ,2
自动化,山东大学威海分校,--,--,辽宁,理科,2017,第一批,加入对比 ,2
新闻传播学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
法学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
经济学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
中国语言文学类,山东大学,--,--,辽宁,文科,2017,第一批,加入对比 ,3
集成电路设计与集成系统,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
微电子科学与工程,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
机械类,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
软件工程,山东大学,--,--,辽宁,理科,2017,第一批,加入对比 ,3
