专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
政治学类,武汉大学,--,613,天津,文科,2017,第一批,加入对比 ,1
历史学类,武汉大学,--,613,天津,文科,2017,第一批,加入对比 ,1
图书情报与档案管理类,武汉大学,--,620,天津,文科,2017,第一批,加入对比 ,1
法学,武汉大学,--,623,天津,文科,2017,第一批,加入对比 ,1
经济学类,武汉大学,--,626,天津,文科,2017,第一批,加入对比 ,1
新闻传播学类,武汉大学,--,629,天津,文科,2017,第一批,加入对比 ,1
轻工类,武汉大学,--,634,天津,理科,2017,第一批,加入对比 ,1
土木类,武汉大学,--,635,天津,理科,2017,第一批,加入对比 ,1
工程力学,武汉大学,--,636,天津,理科,2017,第一批,加入对比 ,1
物理学类,武汉大学,--,643,天津,理科,2017,第一批,加入对比 ,1
化学类,武汉大学,--,641,天津,理科,2017,第一批,加入对比 ,1
水利类,武汉大学,--,638,天津,理科,2017,第一批,加入对比 ,1
能源动力类,武汉大学,--,637,天津,理科,2017,第一批,加入对比 ,1
地理科学类,武汉大学,--,639,天津,理科,2017,第一批,加入对比 ,1
机械类,武汉大学,--,638,天津,理科,2017,第一批,加入对比 ,1
建筑类,武汉大学,--,642,天津,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,武汉大学,--,647,天津,理科,2017,第一批,加入对比 ,1
软件工程,武汉大学,--,649,天津,理科,2017,第一批,加入对比 ,1
遥感科学与技术,武汉大学,--,649,天津,理科,2017,第一批,加入对比 ,1
管理科学与工程类,武汉大学,--,650,天津,理科,2017,第一批,加入对比 ,1
生物科学类,武汉大学,--,662,天津,理科,2017,第一批,加入对比 ,1
数学类,武汉大学,--,655,天津,理科,2017,第一批,加入对比 ,1
金融学类,武汉大学,--,661,天津,理科,2017,第一批,加入对比 ,1
法学,武汉大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
图书情报与档案管理类,武汉大学,--,--,辽宁,文科,2017,第一批,加入对比 ,1
经济学类,武汉大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
建筑类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
轻工类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
哲学类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
土木类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
机械类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
水利类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
环境科学与工程类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
地理科学类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
化学类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
物理学类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
管理科学与工程类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
遥感科学与技术,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
软件工程,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物科学类,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,武汉大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
