专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
新闻传播学类,浙江大学城市学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
法学类,浙江大学城市学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
自动化,浙江大学宁波理工学院,--,303,江苏,理科,2017,第二批,加入对比 ,1
信息与计算科学,浙江大学宁波理工学院,--,304,江苏,理科,2017,第二批,加入对比 ,1
信息管理与信息系统,浙江大学宁波理工学院,--,299,江苏,理科,2017,第二批,加入对比 ,1
新闻传播学类,浙江大学宁波理工学院,--,298,江苏,理科,2017,第二批,加入对比 ,1
外国语言文学类,浙江大学宁波理工学院,--,301,江苏,理科,2017,第二批,加入对比 ,1
日语,浙江大学宁波理工学院,--,299,江苏,理科,2017,第二批,加入对比 ,1
能源与环境系统工程,浙江大学宁波理工学院,--,299,江苏,理科,2017,第二批,加入对比 ,1
金融学,浙江大学宁波理工学院,--,299,江苏,理科,2017,第二批,加入对比 ,1
建筑学,浙江大学宁波理工学院,--,308,江苏,理科,2017,第二批,加入对比 ,1
化工与制药类,浙江大学宁波理工学院,--,300,江苏,理科,2017,第二批,加入对比 ,1
工程管理,浙江大学宁波理工学院,--,298,江苏,理科,2017,第二批,加入对比 ,1
高分子材料与工程,浙江大学宁波理工学院,--,300,江苏,理科,2017,第二批,加入对比 ,1
电气工程及其自动化,浙江大学宁波理工学院,--,302,江苏,理科,2017,第二批,加入对比 ,1
新闻传播学类,浙江大学宁波理工学院,--,317,江苏,文科,2017,第二批,加入对比 ,1
外国语言文学类,浙江大学宁波理工学院,--,311,江苏,文科,2017,第二批,加入对比 ,1
日语,浙江大学宁波理工学院,--,306,江苏,文科,2017,第二批,加入对比 ,1
金融学,浙江大学宁波理工学院,--,311,江苏,文科,2017,第二批,加入对比 ,1
新闻传播学类,浙江大学城市学院,--,313,江苏,理科,2017,第二批,加入对比 ,1
外国语言文学类,浙江大学城市学院,--,316,江苏,理科,2017,第二批,加入对比 ,1
机械类,浙江大学城市学院,--,312,江苏,理科,2017,第二批,加入对比 ,1
道路桥梁与渡河工程,浙江大学城市学院,--,311,江苏,理科,2017,第二批,加入对比 ,1
新闻传播学类,浙江大学城市学院,--,323,江苏,文科,2017,第二批,加入对比 ,1
外国语言文学类,浙江大学城市学院,--,323,江苏,文科,2017,第二批,加入对比 ,1
化工与制药类,浙江大学宁波理工学院,--,380,福建,理科,2017,第二批,加入对比 ,2
日语,浙江大学宁波理工学院,--,380,福建,理科,2017,第二批,加入对比 ,2
