专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
土木类,清华大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
建筑类,清华大学,--,694,吉林,理科,2017,第一批,加入对比 ,1
土木类,清华大学,--,693,吉林,理科,2017,第一批,加入对比 ,1
建筑类,清华大学,--,687,黑龙江,理科,2017,第一批,加入对比 ,1
法学,清华大学,--,679,黑龙江,理科,2017,第一批,加入对比 ,1
核工程与核技术,清华大学,--,678,黑龙江,理科,2017,提前批,加入对比 ,1
测控技术与仪器,清华大学,--,674,黑龙江,理科,2017,提前批,加入对比 ,1
建筑类,清华大学,--,415,江苏,理科,2017,第一批,加入对比 ,1
法学,清华大学,--,414,江苏,理科,2017,第一批,加入对比 ,1
土木类,清华大学,--,666,福建,理科,2017,第一批,加入对比 ,1
建筑学,清华大学,--,689,福建,理科,2017,第一批,加入对比 ,1
核工程与核技术,清华大学,--,687,重庆,理科,2017,提前批,加入对比 ,1
土木类,清华大学,--,695,重庆,理科,2017,第一批,加入对比 ,1
建筑类,清华大学,--,704,重庆,理科,2017,第一批,加入对比 ,1
法学,清华大学,--,650,四川,文科,2017,第一批,加入对比 ,1
土木类,清华大学,--,663,四川,理科,2017,第一批,加入对比 ,1
核工程与核技术,清华大学,--,682,四川,理科,2017,提前批,加入对比 ,1
工程物理,清华大学,--,681,四川,理科,2017,提前批,加入对比 ,1
车辆工程,清华大学,--,684,四川,理科,2017,提前批,加入对比 ,1
材料科学与工程,清华大学,--,688,四川,理科,2017,提前批,加入对比 ,1
建筑类,清华大学,--,705,四川,理科,2017,第一批,加入对比 ,1
土木类,清华大学,--,700,陕西,理科,2017,第一批,加入对比 ,1
法学,清华大学,--,701,陕西,理科,2017,第一批,加入对比 ,1
建筑类,清华大学,--,711,陕西,理科,2017,第一批,加入对比 ,1
土木类,清华大学,--,698,河北,理科,2017,第一批,加入对比 ,1
建筑类,清华大学,--,702,河北,理科,2017,第一批,加入对比 ,2
土木类,清华大学,--,684,内蒙古,理科,2017,提前批,加入对比 ,2
建筑类,清华大学,--,679,内蒙古,理科,2017,第一批,加入对比 ,2
法学,清华大学,--,681,内蒙古,理科,2017,第一批,加入对比 ,2
土木类,清华大学,--,693,内蒙古,理科,2017,第一批,加入对比 ,2
建筑类,清华大学,--,677,河南,理科,2017,第一批,加入对比 ,2
法学,清华大学,--,679,河南,理科,2017,第一批,加入对比 ,2
土木类,清华大学,--,682,河南,理科,2017,第一批,加入对比 ,2
法学,清华大学,--,668,新疆,理科,2017,第一批,加入对比 ,2
建筑类,清华大学,--,675,新疆,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,清华大学,686,--,辽宁,理科,2016,第一批,加入对比 ,2
化学工程与工业生物工程,清华大学,686,--,辽宁,理科,2016,第一批,加入对比 ,2
土木工程,清华大学,687,--,辽宁,理科,2016,第一批,加入对比 ,2
自动化,清华大学,687,--,辽宁,理科,2016,第一批,加入对比 ,2
工业工程,清华大学,687,--,辽宁,理科,2016,第一批,加入对比 ,2
