专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
材料成型及控制工程,湖南大学,--,612,北京,理科,2017,第一批,加入对比 ,1
应用化学,湖南大学,--,613,北京,理科,2017,第一批,加入对比 ,1
建筑环境与能源应用工程,湖南大学,--,613,北京,理科,2017,第一批,加入对比 ,1
材料科学与工程,湖南大学,--,615,北京,理科,2017,第一批,加入对比 ,1
软件工程,湖南大学,--,616,北京,理科,2017,第一批,加入对比 ,1
生物医学工程,湖南大学,--,618,北京,理科,2017,第一批,加入对比 ,1
化学,湖南大学,--,618,北京,理科,2017,第一批,加入对比 ,1
自动化,湖南大学,--,619,北京,理科,2017,第一批,加入对比 ,1
法学,湖南大学,--,617,北京,理科,2017,第一批,加入对比 ,1
能源与动力工程,湖南大学,--,617,北京,理科,2017,第一批,加入对比 ,1
经济学类,湖南大学,--,618,北京,理科,2017,第一批,加入对比 ,1
电子科学与技术,湖南大学,--,618,北京,理科,2017,第一批,加入对比 ,1
通信工程,湖南大学,--,619,北京,理科,2017,第一批,加入对比 ,1
生物技术,湖南大学,--,619,北京,理科,2017,第一批,加入对比 ,1
城乡规划,湖南大学,--,619,北京,理科,2017,第一批,加入对比 ,1
环境科学与工程类,湖南大学,--,619,北京,理科,2017,第一批,加入对比 ,1
英语,湖南大学,--,619,北京,理科,2017,第一批,加入对比 ,1
信息安全,湖南大学,--,620,北京,理科,2017,第一批,加入对比 ,1
数学类,湖南大学,--,620,北京,理科,2017,第一批,加入对比 ,1
土木类,湖南大学,--,621,北京,理科,2017,第一批,加入对比 ,1
计算机科学与技术,湖南大学,--,621,北京,理科,2017,第一批,加入对比 ,1
工商管理,湖南大学,--,621,北京,理科,2017,第一批,加入对比 ,1
机械类,湖南大学,--,622,北京,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,湖南大学,--,624,北京,理科,2017,第一批,加入对比 ,1
统计学类,湖南大学,--,621,北京,理科,2017,第一批,加入对比 ,1
会计学,湖南大学,--,629,北京,理科,2017,第一批,加入对比 ,2
金融学类,湖南大学,--,625,北京,理科,2017,第一批,加入对比 ,2
建筑学,湖南大学,--,627,北京,理科,2017,第一批,加入对比 ,2
法学,湖南大学,--,591,天津,文科,2017,第一批,加入对比 ,2
日语,湖南大学,--,591,天津,文科,2017,第一批,加入对比 ,2
新闻传播学类,湖南大学,--,592,天津,文科,2017,第一批,加入对比 ,2
英语,湖南大学,--,592,天津,文科,2017,第一批,加入对比 ,2
汉语言文学,湖南大学,--,594,天津,文科,2017,第一批,加入对比 ,2
经济学类,湖南大学,--,598,天津,文科,2017,第一批,加入对比 ,2
金融学类,湖南大学,--,599,天津,文科,2017,第一批,加入对比 ,2
材料科学与工程,湖南大学,--,603,天津,理科,2017,第一批,加入对比 ,2
材料成型及控制工程,湖南大学,--,603,天津,理科,2017,第一批,加入对比 ,2
生物医学工程,湖南大学,--,603,天津,理科,2017,第一批,加入对比 ,2
化学工程与工艺,湖南大学,--,603,天津,理科,2017,第一批,加入对比 ,2
生物技术,湖南大学,--,604,天津,理科,2017,第一批,加入对比 ,2
给排水科学与工程,湖南大学,--,604,天津,理科,2017,第一批,加入对比 ,2
建筑环境与能源应用工程,湖南大学,--,604,天津,理科,2017,第一批,加入对比 ,2
能源与动力工程,湖南大学,--,604,天津,理科,2017,第一批,加入对比 ,2
城乡规划,湖南大学,--,605,天津,理科,2017,第一批,加入对比 ,2
环境科学与工程类,湖南大学,--,605,天津,理科,2017,第一批,加入对比 ,2
土木类,湖南大学,--,613,天津,理科,2017,第一批,加入对比 ,2
信息安全,湖南大学,--,607,天津,理科,2017,第一批,加入对比 ,2
自动化,湖南大学,--,607,天津,理科,2017,第一批,加入对比 ,2
测控技术与仪器,湖南大学,--,606,天津,理科,2017,第一批,加入对比 ,2
机械类,湖南大学,--,608,天津,理科,2017,第一批,加入对比 ,2
化学,湖南大学,--,606,天津,理科,2017,第一批,加入对比 ,2
电子科学与技术,湖南大学,--,609,天津,理科,2017,第一批,加入对比 ,2
新闻传播学类,湖南大学,--,607,天津,理科,2017,第一批,加入对比 ,2
软件工程,湖南大学,--,608,天津,理科,2017,第一批,加入对比 ,2
通信工程,湖南大学,--,610,天津,理科,2017,第一批,加入对比 ,2
