专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
化学生物学,西北农林科技大学,--,559,天津,理科,2017,第一批,加入对比 ,1
应用化学,西北农林科技大学,--,559,天津,理科,2017,第一批,加入对比 ,1
能源与动力工程,西北农林科技大学,--,559,天津,理科,2017,第一批,加入对比 ,1
资源环境科学,西北农林科技大学,--,564,天津,理科,2017,第一批,加入对比 ,1
社会学类,西北农林科技大学,--,566,天津,文科,2017,第一批,加入对比 ,1
公共事业管理,西北农林科技大学,--,569,天津,文科,2017,第一批,加入对比 ,1
信息与计算科学,西北农林科技大学,--,571,天津,理科,2017,第一批,加入对比 ,1
机械类,西北农林科技大学,--,575,天津,理科,2017,第一批,加入对比 ,1
法学,西北农林科技大学,--,569,天津,文科,2017,第一批,加入对比 ,1
葡萄与葡萄酒工程,西北农林科技大学,--,579,天津,理科,2017,第一批,加入对比 ,1
林学类,西北农林科技大学,--,570,天津,理科,2017,第一批,加入对比 ,1
经济学类,西北农林科技大学,--,578,天津,理科,2017,第一批,加入对比 ,1
食品科学与工程类,西北农林科技大学,--,577,天津,理科,2017,第一批,加入对比 ,1
农学,西北农林科技大学,--,575,天津,理科,2017,第一批,加入对比 ,1
园艺,西北农林科技大学,--,572,天津,理科,2017,第一批,加入对比 ,1
软件工程,西北农林科技大学,--,572,天津,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,西北农林科技大学,--,584,天津,理科,2017,第一批,加入对比 ,1
电子信息工程,西北农林科技大学,--,580,天津,理科,2017,第一批,加入对比 ,1
信息管理与信息系统,西北农林科技大学,--,581,天津,理科,2017,第一批,加入对比 ,1
风景园林,西北农林科技大学,--,578,天津,理科,2017,第一批,加入对比 ,1
计算机科学与技术,西北农林科技大学,--,584,天津,理科,2017,第一批,加入对比 ,1
土木工程,西北农林科技大学,--,582,天津,理科,2017,第一批,加入对比 ,1
生物科学类,西北农林科技大学,--,590,天津,理科,2017,第一批,加入对比 ,1
化学生物学,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
水产养殖学,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
食品科学与工程类,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
信息管理与信息系统,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
资源环境科学,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
设施农业科学与工程,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
生物科学类,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
公共事业管理,西北农林科技大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
经济学类,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
机械类,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
林学类,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
英语,西北农林科技大学,--,--,辽宁,文科,2017,第一批,加入对比 ,2
能源与动力工程,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
软件工程,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
计算机科学与技术,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
电子信息工程,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
水利类,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
园林,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
农学,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
风景园林,西北农林科技大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
林学类,西北农林科技大学,--,545,吉林,理科,2017,第一批,加入对比 ,2
环境科学与工程类,西北农林科技大学,--,540,吉林,理科,2017,第一批,加入对比 ,2
英语,西北农林科技大学,--,549,吉林,文科,2017,第一批,加入对比 ,2
地理科学类,西北农林科技大学,--,545,吉林,理科,2017,第一批,加入对比 ,2
生物科学类,西北农林科技大学,--,554,吉林,理科,2017,第一批,加入对比 ,2
信息管理与信息系统,西北农林科技大学,--,547,吉林,理科,2017,第一批,加入对比 ,2
食品科学与工程类,西北农林科技大学,--,562,吉林,理科,2017,第一批,加入对比 ,2
葡萄与葡萄酒工程,西北农林科技大学,--,554,吉林,理科,2017,第一批,加入对比 ,2
水利类,西北农林科技大学,--,554,吉林,理科,2017,第一批,加入对比 ,2
