专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
法学,西北工业大学,--,597,北京,文科,2017,第一批,加入对比 ,1
软件工程,西北工业大学,--,614,天津,理科,2017,第一批,加入对比 ,1
微电子科学与工程,西北工业大学,--,618,天津,理科,2017,第一批,加入对比 ,1
生物技术,西北工业大学,--,615,天津,理科,2017,第一批,加入对比 ,1
计算机科学与技术,西北工业大学,--,620,天津,理科,2017,第一批,加入对比 ,1
船舶与海洋工程,西北工业大学,--,617,天津,理科,2017,第一批,加入对比 ,1
通信工程,西北工业大学,--,617,天津,理科,2017,第一批,加入对比 ,1
机械设计制造及其自动化,西北工业大学,--,619,天津,理科,2017,第一批,加入对比 ,1
探测制导与控制技术,西北工业大学,--,622,天津,理科,2017,第一批,加入对比 ,1
材料科学与工程,西北工业大学,--,626,天津,理科,2017,第一批,加入对比 ,1
飞行器动力工程,西北工业大学,--,624,天津,理科,2017,第一批,加入对比 ,1
飞行器设计与工程,西北工业大学,--,640,天津,理科,2017,第一批,加入对比 ,1
管理科学与工程类,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
微电子科学与工程,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
数学与应用数学,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
微机电系统工程,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
能源与动力工程,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
自动化,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
探测制导与控制技术,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
机械设计制造及其自动化,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
计算机科学与技术,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
材料科学与工程,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电子信息工程,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
飞行器动力工程,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
飞行器设计与工程,西北工业大学,--,--,辽宁,理科,2017,第一批,加入对比 ,2
通信工程,西北工业大学明德学院,--,--,辽宁,理科,2017,第二批,加入对比 ,2
机械设计制造及其自动化,西北工业大学明德学院,--,--,辽宁,理科,2017,第二批,加入对比 ,2
金融学,西北工业大学明德学院,--,--,辽宁,文科,2017,第二批,加入对比 ,2
软件工程,西北工业大学,--,605,吉林,理科,2017,第一批,加入对比 ,2
微电子科学与工程,西北工业大学,--,610,吉林,理科,2017,第一批,加入对比 ,2
计算机科学与技术,西北工业大学,--,616,吉林,理科,2017,第一批,加入对比 ,2
飞行器制造工程,西北工业大学,--,612,吉林,理科,2017,第一批,加入对比 ,2
探测制导与控制技术,西北工业大学,--,618,吉林,理科,2017,第一批,加入对比 ,2
自动化,西北工业大学,--,615,吉林,理科,2017,第一批,加入对比 ,2
材料科学与工程,西北工业大学,--,619,吉林,理科,2017,第一批,加入对比 ,2
飞行器动力工程,西北工业大学,--,628,吉林,理科,2017,第一批,加入对比 ,2
飞行器设计与工程,西北工业大学,--,643,吉林,理科,2017,第一批,加入对比 ,2
建筑学,西北工业大学,--,606,黑龙江,理科,2017,第一批,加入对比 ,2
探测制导与控制技术,西北工业大学,--,612,黑龙江,理科,2017,第一批,加入对比 ,2
飞行器动力工程,西北工业大学,--,613,黑龙江,理科,2017,第一批,加入对比 ,2
飞行器设计与工程,西北工业大学,--,620,黑龙江,理科,2017,第一批,加入对比 ,2
交通设备与控制工程,西北工业大学,--,612,黑龙江,理科,2017,第一批,加入对比 ,2
软件工程,西北工业大学,--,613,黑龙江,理科,2017,第一批,加入对比 ,2
计算机科学与技术,西北工业大学,--,614,黑龙江,理科,2017,第一批,加入对比 ,2
自动化,西北工业大学,--,614,黑龙江,理科,2017,第一批,加入对比 ,2
微电子科学与工程,西北工业大学,--,607,黑龙江,理科,2017,第一批,加入对比 ,2
电子信息工程,西北工业大学,--,613,黑龙江,理科,2017,第一批,加入对比 ,2
电气工程及其自动化,西北工业大学,--,610,黑龙江,理科,2017,第一批,加入对比 ,2
能源与动力工程,西北工业大学,--,609,黑龙江,理科,2017,第一批,加入对比 ,2
材料科学与工程,西北工业大学,--,612,黑龙江,理科,2017,第一批,加入对比 ,2
机械设计制造及其自动化,西北工业大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,2
工程力学,西北工业大学,--,608,黑龙江,理科,2017,第一批,加入对比 ,2
德语,西北工业大学,--,562,黑龙江,文科,2017,第一批,加入对比 ,2
会计学,西北工业大学明德学院,--,349,黑龙江,理科,2017,第三批,加入对比 ,2
电子信息工程,西北工业大学明德学院,--,358,黑龙江,理科,2017,第三批,加入对比 ,2
金融学,西北工业大学明德学院,--,410,黑龙江,文科,2017,第三批,加入对比 ,2
自动化,西北工业大学,--,377,江苏,理科,2017,第一批,加入对比 ,2
应用物理学,西北工业大学,--,373,江苏,理科,2017,第一批,加入对比 ,2
信息与计算科学,西北工业大学,--,372,江苏,理科,2017,第一批,加入对比 ,2
信息工程,西北工业大学,--,372,江苏,理科,2017,第一批,加入对比 ,2
信息安全,西北工业大学,--,373,江苏,理科,2017,第一批,加入对比 ,2
微机电系统工程,西北工业大学,--,373,江苏,理科,2017,第一批,加入对比 ,2
微电子科学与工程,西北工业大学,--,373,江苏,理科,2017,第一批,加入对比 ,2
统计学,西北工业大学,--,371,江苏,理科,2017,第一批,加入对比 ,2
通信工程,西北工业大学,--,373,江苏,理科,2017,第一批,加入对比 ,2
探测制导与控制技术,西北工业大学,--,372,江苏,理科,2017,第一批,加入对比 ,2
数学与应用数学,西北工业大学,--,373,江苏,理科,2017,第一批,加入对比 ,2
生物科学类,西北工业大学,--,371,江苏,理科,2017,第一批,加入对比 ,2
软件工程,西北工业大学,--,373,江苏,理科,2017,第一批,加入对比 ,2
能源与动力工程,西北工业大学,--,372,江苏,理科,2017,第一批,加入对比 ,2
交通设备与控制工程,西北工业大学,--,373,江苏,理科,2017,第一批,加入对比 ,2
交通工程,西北工业大学,--,374,江苏,理科,2017,第一批,加入对比 ,2
建筑学,西北工业大学,--,372,江苏,理科,2017,第一批,加入对比 ,2
计算机科学与技术,西北工业大学,--,379,江苏,理科,2017,第一批,加入对比 ,2
材料科学与工程,西北工业大学,--,612,黑龙江,理科,2017,第一批,加入对比 ,3
机械设计制造及其自动化,西北工业大学,--,611,黑龙江,理科,2017,第一批,加入对比 ,3
