专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
外国语言文学类,西安交通大学,--,614,北京,文科,2017,第一批,加入对比 ,1
物理学类,西安交通大学,--,635,北京,理科,2017,第一批,加入对比 ,1
经济学类,西安交通大学,--,638,北京,理科,2017,第一批,加入对比 ,1
数学类,西安交通大学,--,640,北京,理科,2017,第一批,加入对比 ,1
会计学,西安交通大学,--,642,北京,理科,2017,第一批,加入对比 ,1
电气类,西安交通大学,--,642,北京,理科,2017,第一批,加入对比 ,1
经济学类,西安交通大学城市学院,--,474,北京,理科,2017,第二批,加入对比 ,1
经济学类,西安交通大学,--,643,天津,理科,2017,第一批,加入对比 ,1
会计学,西安交通大学,--,654,天津,理科,2017,第一批,加入对比 ,1
电气类,西安交通大学,--,659,天津,理科,2017,第一批,加入对比 ,1
土木类,西安交通大学城市学院,--,421,天津,理科,2017,第二批,加入对比 ,1
会计学,西安交通大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电气类,西安交通大学,--,--,辽宁,理科,2017,第一批,加入对比 ,1
电气类,西安交通大学城市学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
网络与新媒体,西安交通大学城市学院,--,--,辽宁,理科,2017,第二批,加入对比 ,1
日语,西安交通大学城市学院,--,--,辽宁,文科,2017,第二批,加入对比 ,1
传播学,西安交通大学城市学院,--,--,辽宁,文科,2017,第二批,加入对比 ,1
经济学类,西安交通大学,--,639,吉林,理科,2017,第一批,加入对比 ,1
物理学类,西安交通大学,--,641,吉林,理科,2017,第一批,加入对比 ,1
会计学,西安交通大学,--,648,吉林,理科,2017,第一批,加入对比 ,1
电气类,西安交通大学,--,658,吉林,理科,2017,第一批,加入对比 ,1
机械类,西安交通大学城市学院,--,378,吉林,理科,2017,第三批,加入对比 ,1
会计学,西安交通大学,--,643,黑龙江,理科,2017,第一批,加入对比 ,1
电气类,西安交通大学,--,645,黑龙江,理科,2017,第一批,加入对比 ,1
经济学类,西安交通大学,--,641,黑龙江,理科,2017,第一批,加入对比 ,1
外国语言文学类,西安交通大学,--,585,黑龙江,文科,2017,第一批,加入对比 ,2
物理学类,西安交通大学,--,382,江苏,理科,2017,第一批,加入对比 ,2
数学类,西安交通大学,--,382,江苏,理科,2017,第一批,加入对比 ,2
生物医学工程类,西安交通大学,--,382,江苏,理科,2017,第一批,加入对比 ,2
软件工程,西安交通大学,--,383,江苏,理科,2017,第一批,加入对比 ,2
经济学类,西安交通大学,--,383,江苏,理科,2017,第一批,加入对比 ,2
