专业,学校,平均分,最高分,考生地区,文理科,年份,批次,多余列,爬取页编码
英语,重庆大学,--,603,北京,文科,2017,第一批,加入对比 ,1
法学类,重庆大学,--,606,北京,文科,2017,第一批,加入对比 ,1
经济学类,重庆大学,--,607,北京,文科,2017,第一批,加入对比 ,1
新闻传播学类,重庆大学,--,616,北京,文科,2017,第一批,加入对比 ,1
航空航天类,重庆大学,--,615,北京,理科,2017,第一批,加入对比 ,1
工程管理,重庆大学,--,615,北京,理科,2017,第一批,加入对比 ,1
车辆工程,重庆大学,--,616,北京,理科,2017,第一批,加入对比 ,1
土木工程,重庆大学,--,618,北京,理科,2017,第一批,加入对比 ,1
能源动力类,重庆大学,--,618,北京,理科,2017,第一批,加入对比 ,1
机械设计制造及其自动化,重庆大学,--,621,北京,理科,2017,第一批,加入对比 ,1
信息安全,重庆大学,--,618,北京,理科,2017,第一批,加入对比 ,1
建筑环境与能源应用工程,重庆大学,--,618,北京,理科,2017,第一批,加入对比 ,1
电子信息工程,重庆大学,--,618,北京,理科,2017,第一批,加入对比 ,1
自动化,重庆大学,--,619,北京,理科,2017,第一批,加入对比 ,1
会计学,重庆大学,--,618,北京,理科,2017,第一批,加入对比 ,1
数学类,重庆大学,--,621,北京,理科,2017,第一批,加入对比 ,1
材料科学与工程,重庆大学,--,621,北京,理科,2017,第一批,加入对比 ,1
软件工程,重庆大学,--,625,北京,理科,2017,第一批,加入对比 ,1
城乡规划,重庆大学,--,623,北京,理科,2017,第一批,加入对比 ,1
电气工程及其自动化,重庆大学,--,627,北京,理科,2017,第一批,加入对比 ,1
风景园林,重庆大学,--,625,北京,理科,2017,第一批,加入对比 ,1
建筑学,重庆大学,--,632,北京,理科,2017,第一批,加入对比 ,1
英语,重庆大学,--,590,天津,文科,2017,第一批,加入对比 ,1
新闻传播学类,重庆大学,--,595,天津,文科,2017,第一批,加入对比 ,1
经济学类,重庆大学,--,596,天津,文科,2017,第一批,加入对比 ,1
法学类,重庆大学,--,598,天津,文科,2017,第一批,加入对比 ,2
航空航天类,重庆大学,--,609,天津,理科,2017,第一批,加入对比 ,2
